 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 270070 BATALHA, 270570 OLHO D'AGUA DAS FLORES, 270710 PIRANHAS
Sexo: Fem
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;1;4
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
". 016-023 Doenças virais";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;-;-;-;1;1;-;1;1;1;6;2;1;1;6;21
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;3
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;4
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;3
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;4
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;-;-;-;1;-;3;3;1;2;4;15
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;1;-;3;2;1;1;4;12
". 056 Desnutrição";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;1;1;-;1;2;3;4;4;3;8;3;23;53
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4;6
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;1;-;1;2;1;1;2;2;4;2;2;18
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;1;-;1;2;1;1;2;2;4;1;2;17
". 069 Outras doenças cardíacas";-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;-;3;7
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;1;1;2;1;2;1;11;19
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;1;-;-;-;-;-;1;-;1;-;2;2;2;10;20
". 074 Pneumonia";-;-;-;1;-;-;-;-;-;1;-;1;-;1;2;-;6;12
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;4
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 077 Restante  doenças do aparelho respiratório";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;4
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;4;6
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;-;5
