 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 290100 AMARGOSA, 290290 BARRA DO CHOCA, 290500 CACULE, 290520 CAETITE, 290600 CAMPO FORMOSO, 290670 CANDIDO SALES, 290730 CASTRO ALVES, 290780 CICERO DANTAS, 290790 CIPO, 291040 ENCRUZILHADA, 291110 FORMOSA DO RIO PRETO, 291190 IACU, 291350 IGUAI, 291400 IPIRA, 291510 ITAGI, 291685 ITATIM, 291690 ITIRUCU, 291835 JOAO DOURADO, 291915 LAPAO, 292050 MARACAS, 292120 MIGUEL CALMON, 292310 OLINDINA, 292460 PINDOBACU, 292480 PIRITIBA, 292600 REMANSO, 292630 RIACHAO DO JACUIPE, 292710 RODELAS, 292720 RUY BARBOSA, 292790 SANTA INES, 292800 SANTALUZ, 292840 SANTA RITA DE CASSIA, 292880 SANTO ESTEVAO, 292930 SAO GONCALO DOS CAMPOS, 293130 TAPIRAMUTA, 293280 UTINGA, 293300 VALENTE
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;2;-;1;1;3;8;7;13;22;18;19;50;37;44;67;53;168;514
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;2;2;8
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;2;-;6
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;1;-;-;-;3;-;1;3;2;-;12;3;17;42
"... 014 Septicemia";-;-;-;-;-;-;-;1;-;-;-;3;-;1;3;2;-;10;3;14;37
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;2;2;1;1;-;-;1;2;1;1;-;-;11
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;1;2;1;1;-;-;-;2;1;-;-;-;8
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;3;5;3;2;10;29
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;3;5;3;2;10;29
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;3;-;-;5
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 030 Restante de helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;1;2;-;1;1;2;6;5;11;17;16;17;42;29;38;45;46;139;418
"032-052 NEOPLASIAS";-;-;1;1;-;3;3;4;3;9;13;20;21;28;33;48;45;57;44;110;443
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;3;7
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;2;1;5;12
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;1;2;1;1;2;1;1;1;4;2;4;20
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;3;4;6;3;8;28
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;1;1;1;-;1;1;1;1;7;6;4;3;8;35
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;3;2;3;5;8;26
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;8;2;9;4;9;36
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;2;3;9;1;7;3;3;5;2;1;11;47
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;1;2;3;4;3;5;3;2;2;6;6;37
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;2;3;1;1;4;16
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;1;-;2;-;2;1;4;3;2;-;2;17
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;5
". 047 Neopl malig mening,encéf e out partes SNC";-;-;1;-;-;-;1;-;1;-;-;2;1;2;2;1;2;1;1;2;17
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;1;1;-;-;-;5
