 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 290100 AMARGOSA, 290290 BARRA DO CHOCA, 290500 CACULE, 290520 CAETITE, 290600 CAMPO FORMOSO, 290670 CANDIDO SALES, 290730 CASTRO ALVES, 290780 CICERO DANTAS, 290790 CIPO, 291040 ENCRUZILHADA, 291110 FORMOSA DO RIO PRETO, 291190 IACU, 291350 IGUAI, 291400 IPIRA, 291510 ITAGI, 291685 ITATIM, 291690 ITIRUCU, 291835 JOAO DOURADO, 291915 LAPAO, 292050 MARACAS, 292120 MIGUEL CALMON, 292310 OLINDINA, 292460 PINDOBACU, 292480 PIRITIBA, 292600 REMANSO, 292630 RIACHAO DO JACUIPE, 292710 RODELAS, 292720 RUY BARBOSA, 292790 SANTA INES, 292800 SANTALUZ, 292840 SANTA RITA DE CASSIA, 292880 SANTO ESTEVAO, 292930 SAO GONCALO DOS CAMPOS, 293130 TAPIRAMUTA, 293280 UTINGA, 293300 VALENTE
Sexo: Masc
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;6;2;-;-;1;1;5;7;9;9;12;16;13;27;25;30;30;74;1;268
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;3;5;-;12
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;-;5
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3;1;-;7
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;2;-;-;4;-;10
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;2;-;-;4;-;10
". 007-015 Outras doenças bacterianas";-;-;4;1;-;-;1;-;1;2;-;2;3;5;5;6;4;8;7;14;-;63
"... 014 Septicemia";-;-;4;1;-;-;1;-;-;1;-;2;3;4;4;5;4;6;7;13;-;55
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;1;3;4;3;7;4;1;5;1;1;1;-;-;31
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;3
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;1;2;4;3;6;3;1;3;1;-;1;-;-;25
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;1;1;-;4;3;8;5;8;2;2;-;34
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;8;5;8;2;2;-;32
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;2;1;-;-;-;1;2;2;3;2;1;2;4;7;10;13;17;49;1;117
"032-052 NEOPLASIAS";-;-;1;-;-;1;3;1;4;4;1;13;21;35;39;58;57;82;79;145;-;544
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;1;-;1;3;2;6;4;2;5;4;7;-;35
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;2;4;3;2;5;3;9;5;7;-;40
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;2;-;1;3;4;5;5;1;8;6;7;-;43
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;2;3;7;2;4;-;24
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;3;4;4;2;7;-;24
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;2;2;1;1;-;11
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;5;6;3;2;4;-;24
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;1;-;-;-;1;1;5;3;2;6;11;9;11;-;50
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9;9;9;23;53;-;104
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;1;7;-;14
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;1;-;-;-;-;1;1;2;3;3;2;1;4;1;-;19
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;-;2;-;-;7
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;1;1;-;-;7
". 050 Leucemia";-;-;-;-;-;-;-;-;1;1;1;-;2;3;-;2;2;1;1;5;-;19
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;2;-;-;-;6;-;12
". 052 Restante de neoplasias malignas";-;-;1;-;-;1;2;-;1;-;-;3;3;9;8;12;11;18;16;25;-;110
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;1;-;-;-;2;1;-;1;-;-;1;-;3;-;2;1;2;6;-;20
". 053 Anemias";-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;2;1;2;6;-;16
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;4
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;1;-;-;-;2;1;6;5;6;9;14;17;20;34;43;47;105;-;311
". 055 Diabetes mellitus";-;-;-;1;-;-;-;-;1;1;5;6;8;12;12;18;29;39;41;73;-;246
". 056 Desnutrição";-;-;-;-;-;-;-;1;-;1;-;-;1;-;2;-;-;-;3;15;-;23
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;1;-;-;-;-;1;-;4;-;-;-;2;3;2;5;4;3;17;-;42
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;2;5;5;10;11;9;10;11;9;6;8;5;9;-;100
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;5;4;10;11;8;10;11;8;5;8;5;8;-;94
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;4;3;9;11;7;9;10;7;5;7;3;5;-;80
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;1;-;-;1;-;6
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;3;-;1;1;2;2;1;2;5;4;6;7;5;3;7;15;11;30;-;105
". 060 Meningite";-;-;-;-;-;1;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;4
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;4;20;-;28
