 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 230015 ACARAPE, 230210 BATURITE, 230270 CAMPOS SALES, 230380 CEDRO, 230495 GUAIUBA, 230540 ICO, 230580 IPU, 230690 JAGUARIBE, 230790 MARTINOPOLE, 230870 MORADA NOVA, 230930 NOVA RUSSAS, 230950 OROS, 231050 PEDRA BRANCA, 231070 PENTECOSTE, 231150 QUIXERE, 231160 REDENCAO, 231310 TABULEIRO DO NORTE, 231330 TAUA, 231380 URUBURETAMA, 231395 VARJOTA, 231400 VARZEA ALEGRE
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;-;-;-;1;-;3;2;1;1;5;3;6;7;6;7;37;80
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;1;4;9;20
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;4;7;16
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;4
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;4
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;3
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;1;-;-;-;-;1;-;-;-;1;-;-;2;3;2;5;2;26;43
"... 014 Septicemia";-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;2;2;5;2;23;38
"... 015 Infecções com transmissão predom sexual";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;2;2;-;-;2;-;-;-;-;-;-;6
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;2;2;-;-;2;-;-;-;-;-;-;6
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;1;5
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;4
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"032-052 NEOPLASIAS";-;-;-;2;2;1;-;1;3;6;9;9;13;22;36;47;43;41;39;93;367
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;3;7
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;2;7
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;-;3;-;-;1;1;1;3;2;1;9;22
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;2;2;1;7;16
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;1;-;1;1;2;-;-;2;7;4;7;25
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;4;4;-;6;17
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;4
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;-;6;7;10;6;7;7;44
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;3
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;2;-;1;4;3;5;9;9;3;2;5;15;58
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;2;2;1;3;3;6;3;2;1;5;3;31
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;1;1;1;7
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;1;2;-;1;1;10
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;1;-;1;-;-;-;-;-;1;-;2;4;2;-;3;3;1;18
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;1;1;1;7
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;3
". 050 Leucemia";-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;2;-;1;1;2;9
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;2;-;1;6
". 052 Restante de neoplasias malignas";-;-;-;-;1;-;-;1;-;2;1;-;-;4;5;11;9;5;6;26;71
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;2;6;12
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;1;6;11
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;1;-;-;-;4;3;2;9;7;11;23;28;28;76;192
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;-;2;2;9;6;10;22;24;24;59;158
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;1;-;-;-;4;1;-;-;1;1;1;4;4;8;25
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;1;-;2;1;-;1;-;1;2;-;3;13;24
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;2;6;12
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;1;-;1;7;12
