 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 230015 ACARAPE, 230210 BATURITE, 230270 CAMPOS SALES, 230380 CEDRO, 230495 GUAIUBA, 230540 ICO, 230580 IPU, 230690 JAGUARIBE, 230790 MARTINOPOLE, 230870 MORADA NOVA, 230930 NOVA RUSSAS, 230950 OROS, 231050 PEDRA BRANCA, 231070 PENTECOSTE, 231150 QUIXERE, 231160 REDENCAO, 231310 TABULEIRO DO NORTE, 231330 TAUA, 231380 URUBURETAMA, 231395 VARJOTA, 231400 VARZEA ALEGRE
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;-;-;-;-;2;3;4;3;4;5;2;6;3;5;3;7;17;25;-;90
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;1;-;1;1;-;2;1;1;-;-;3;2;-;12
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;1;-;-;3;1;-;9
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;3
". 005-006 Tuberculose";-;-;-;-;-;-;-;1;2;2;-;-;-;1;-;-;-;-;-;2;-;8
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;2;2;-;-;-;1;-;-;-;-;-;2;-;7
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;1;1;2;-;2;1;3;-;4;7;20;-;41
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;1;-;4;4;13;-;27
". 016-023 Doenças virais";-;-;-;-;-;-;1;2;-;-;2;2;1;-;1;1;-;1;2;-;-;13
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;2;-;-;2;2;1;-;1;1;-;1;1;-;-;11
". 024-027 Doenças transmitidas por protozoários";-;1;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;2;4;1;-;13
"... 025 Leishmaniose";-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;4;1;-;10
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;1;1;2;-;5;3;2;1;4;4;6;20;15;33;56;62;60;36;118;-;429
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;7;5;4;1;4;-;26
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;2;2;5;4;1;3;2;4;-;23
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;-;1;-;1;2;4;4;13;7;4;13;-;50
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;1;1;1;2;2;1;2;2;1;3;2;-;18
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;4;3;2;1;5;-;19
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;1;-;-;-;-;-;-;1;-;2;2;2;1;2;5;-;16
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;2;1;3;1;-;-;12
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;11;13;7;8;11;-;56
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;4;-;6
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;4
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5;4;14;11;42;-;77
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;3
". 047 Neopl malig mening,encéf e out partes SNC";-;1;1;-;-;1;-;-;-;1;1;2;2;1;1;5;2;3;-;1;-;22
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;1;1;-;1;1;1;-;-;-;2;-;-;-;-;-;7
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 050 Leucemia";-;-;-;-;-;3;1;-;-;-;-;-;-;1;3;1;3;1;-;3;-;16
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;2;-;3;-;9
". 052 Restante de neoplasias malignas";-;-;-;1;-;-;-;1;-;-;-;-;5;2;9;5;8;10;3;20;-;64
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;1;-;3;-;10;-;18
