 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 230015 ACARAPE, 230210 BATURITE, 230270 CAMPOS SALES, 230380 CEDRO, 230495 GUAIUBA, 230540 ICO, 230580 IPU, 230690 JAGUARIBE, 230790 MARTINOPOLE, 230870 MORADA NOVA, 230930 NOVA RUSSAS, 230950 OROS, 231050 PEDRA BRANCA, 231070 PENTECOSTE, 231150 QUIXERE, 231160 REDENCAO, 231310 TABULEIRO DO NORTE, 231330 TAUA, 231380 URUBURETAMA, 231395 VARJOTA, 231400 VARZEA ALEGRE
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";1;-;6;-;1;-;1;2;8;8;12;15;18;24;27;37;47;59;70;182;518
". 001 Doenças infecciosas intestinais";-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2;1;4;11
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3;7
"... 004 Outras doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;4
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;2;-;1;-;2;-;-;-;1;-;-;1;7
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;2;-;1;-;2;-;-;-;1;-;-;1;7
". 007-015 Outras doenças bacterianas";1;-;2;-;-;-;1;-;-;-;3;-;1;2;-;4;3;6;6;28;57
"... 014 Septicemia";-;-;2;-;-;-;1;-;-;-;2;-;1;1;-;4;2;5;4;24;46
"... 015 Infecções com transmissão predom sexual";1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;2;-;3;2;-;-;2;-;1;-;1;-;11
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;2;-;3;2;-;-;-;-;1;-;-;-;8
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;2;-;-;1;2;9
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;1;2;7
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
