 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320080 BAIXO GUANDU, 320350 MONTANHA
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"15 a 19 anos";"20 a 24 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;1;1;1;1;-;-;1;-;1;6
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 016-023 Doenças virais";-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;3
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;3
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 025 Leishmaniose";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"032-052 NEOPLASIAS";-;-;-;-;2;-;2;2;2;2;3;1;3;4;7;28
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;3
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;3
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 044 Neoplasia maligna do ovário";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;1;-;1;1;1;1;1;-;-;-;1;7
