 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320080 BAIXO GUANDU, 320350 MONTANHA
Sexo: Fem
Período:2018
"Causa - CID-BR-10";"7 a 27 dias";"5 a 9 anos";"25 a 29 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"032-052 NEOPLASIAS";-;1;-;-;1;2;4;1;2;3;1;5;12;32
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;2;2;4
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;1;-;-;1;-;-;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;1;1;-;1;-;-;1;-;4
". 040 Neoplasia maligna da pele";-;1;-;-;-;-;-;-;-;-;-;-;2;3
". 041 Neoplasia maligna da mama";-;-;-;-;1;1;-;1;-;2;-;1;-;6
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;1;-;1;-;-;-;2;4
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;2;1;-;-;-;1;7;12
". 055 Diabetes mellitus";-;-;1;-;-;-;1;1;-;-;-;1;4;8
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;3;3
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;1;5;6
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;1;4;5
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;1;-;3;3;5;4;6;6;4;23;55
". 067 Doenças hipertensivas";-;-;-;-;-;-;1;-;1;2;1;-;8;13
". 068 Doenças isquêmicas do coração";-;-;-;-;-;2;-;3;2;3;3;1;7;21
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;2;-;3;2;2;3;1;6;19
". 069 Outras doenças cardíacas";-;-;-;-;-;1;-;2;-;1;1;-;2;7
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;-;1;3;5;10
". 072 Rest doenças do aparelho circulatório";-;-;-;1;-;-;2;-;-;-;-;-;1;4
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;1;-;-;-;1;2;2;12;18
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;1;8;9
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;1;-;-;-;1;2;1;2;7
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;1;-;-;2;-;-;2;-;-;1;6
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;1;-;-;2;-;-;-;3
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;1;-;-;-;-;-;1;2
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;2;-;-;-;-;-;1;3
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;1;1;2;-;8;12
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;1;1;2;-;2;6
