 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320080 BAIXO GUANDU, 320350 MONTANHA
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"5 a 9 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;1;2;6
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 016-023 Doenças virais";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 025 Leishmaniose";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;-;-;1;-;1;1;1;3;4;4;1;2;2;6;3;29
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;3
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;4
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;4
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;3
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;3
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;2;5
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 053 Anemias";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;2;9;15
". 055 Diabetes mellitus";-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;2;5;10
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;3
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;7
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;6
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;1;1;2;2;2;3;10;12;15;48
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;6;10
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;1;1;-;2;2;3;7;6;23
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;1;1;-;1;2;3;6;6;21
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;4
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;4;3;11
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;1;-;-;1;1;-;1;1;1;5;2;25;38
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;4;1;20;28
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;3;7
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;3
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;1;5
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;4;8
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;3;7
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 098 Malformações congênitas do sistema nervoso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;-;1;-;1;1;1;-;2;-;-;-;-;-;-;2;9
". 104 Acidentes de transporte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 108 Envenen, intoxic por ou expos a subst nociv";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2
". 110 Agressões";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 113 Todas as outras causas externas";-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;3
"Total";2;1;2;1;1;2;4;2;2;6;7;7;11;6;9;19;25;67;174
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
