 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320080 BAIXO GUANDU, 320350 MONTANHA
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"1 a 4 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;-;2;1;1;2;2;3;2;5;3;1;5;-;28
". 007-015 Outras doenças bacterianas";-;-;1;-;-;-;-;-;1;-;-;-;1;1;1;-;-;5
"... 014 Septicemia";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
". 016-023 Doenças virais";-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;3
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;3
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;1;-;-;1;2;3;2;4;2;-;5;-;20
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;2;1;3;-;3;8;4;4;5;-;30
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;4
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;-;4
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;1;-;5
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
