 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320080 BAIXO GUANDU, 320350 MONTANHA
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"10 a 14 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;1;2;4;5;4;5;12;6;12;12;64
". 005-006 Tuberculose";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 016-023 Doenças virais";-;-;-;-;-;1;-;-;-;-;-;1;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;1;-;-;-;-;-;1;-;-;2
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;1;-;1;1;3;5;4;5;12;5;11;11;59
"032-052 NEOPLASIAS";-;1;-;-;-;1;3;2;5;1;2;3;3;8;29
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
