 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320080 BAIXO GUANDU, 320350 MONTANHA
Sexo: Masc
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"5 a 9 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;1;2;1;2;2;4;11;6;6;7;17;59
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 016-023 Doenças virais";-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;1;4
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;3
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;1;1;1;2;4;11;6;6;6;14;52
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;1;1;1;6;3;9;5;7;8;41
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;4
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;1;-;-;1;-;3;1;1;1;8
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;3;9
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;1;1;7
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;1;-;2;-;1;2;3;2;3;4;18
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;2;-;1;2;3;1;2;4;15
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;5;10
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;7
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;3
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;1;2;-;2;4;6;10;6;6;11;48
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;2;2;1;2;-;2;10
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;1;-;-;2;1;4;3;2;4;17
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;1;-;-;2;1;4;1;2;4;15
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;2;5
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;1;-;-;1;-;3;2;1;3;3;14
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;1;-;2;-;-;-;1;3;1;6;4;18
". 074 Pneumonia";-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;2;6
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 075.1 Bronquiolite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5;-;6
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;1;5
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;1;1;-;3;6;1;-;2;2;1;3;20
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 080 Doenças do fígado";-;-;-;-;-;-;1;1;-;-;5;1;-;2;1;-;-;11
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;1;1;-;-;1;1;-;1;-;-;-;5
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;3;-;-;1;1;-;-;5
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;2;6
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;4
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;2;4;10
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;3;7
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 098 Malformações congênitas do sistema nervoso";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;3;6;5;5;1;2;5;1;3;2;1;1;1;1;38
". 104 Acidentes de transporte";-;-;1;1;2;4;2;1;-;1;-;1;2;-;-;1;-;16
". 105 Quedas";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;3
". 106 Afogamento e submersões acidentais";-;-;-;-;1;-;1;-;1;1;-;1;-;-;-;-;-;5
". 108 Envenen, intoxic por ou expos a subst nociv";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2
". 110 Agressões";-;-;-;2;2;1;2;-;-;1;-;1;-;-;-;-;-;9
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"Total";3;1;1;4;6;5;8;6;8;13;13;20;27;39;25;38;60;277
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
