 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310090 AGUAS FORMOSAS, 310110 AIMORES, 310340 ARACUAI, 310860 BRASILIA DE MINAS, 311370 CARLOS CHAGAS, 311840 CONSELHEIRO PENA, 312235 DIVISA ALEGRE, 312430 ESPINOSA, 312670 FRANCISCO SA, 312690 FREI INOCENCIO, 312800 GUANHAES, 313270 ITAMBACURI, 313330 ITAOBIM, 313890 MACHACALIS, 313920 MALACACHETA, 313960 MANTENA, 314055 MATA VERDE, 314140 MEDINA, 314290 MONTE AZUL, 314630 PADRE PARAISO, 315000 PESCADOR, 315430 RESPLENDOR, 315710 SALTO DA DIVISA, 316670 SERRA DOS AIMORES, 316970 TURMALINA
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;2;4;-;-;1;2;2;2;-;4;1;3;4;10;7;8;9;34;94
". 001 Doenças infecciosas intestinais";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;10;16
"... 003 Diarréia e gastroenterite orig infec pres";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;5;11
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;5
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;4
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;1;-;2;-;-;1;1;1;1;-;1;-;-;2;2;3;5;3;20;43
"... 013 Infecção meningocócica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 014 Septicemia";-;-;-;2;-;-;1;1;1;1;-;1;-;-;1;2;3;2;3;18;36
"... 015 Infecções com transmissão predom sexual";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;1;-;-;-;1;-;1;-;-;1;2;1;2;1;-;-;1;11
"... 019 Febre amarela";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;1;-;-;1;6
". 024-027 Doenças transmitidas por protozoários";-;-;-;1;-;-;-;-;1;-;-;3;-;1;1;2;3;1;1;2;16
"... 025 Leishmaniose";-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;3
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;2;3;1;1;2;13
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"032-052 NEOPLASIAS";-;-;-;-;1;-;1;-;1;-;6;8;12;9;18;18;16;19;28;58;195
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;2;5
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3;2;3;11
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;2;2;8
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;1;3;3;12
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;-;5
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;2;3;6;14
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;3
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;1;-;1;11;18
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;2;5
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;1;2;3;-;6;4;1;4;-;5;26
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;1;2;1;1;-;-;1;-;1;-;7
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;1;-;-;-;-;7
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;3
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;3
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;1;-;-;1;1;6
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;4
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;4
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;1;-;-;-;-;1;3;2;4;6;5;2;9;18;51
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;1;-;-;-;-;1;-;2;1;-;-;-;1;1;-;1;4;8;20
". 053 Anemias";-;-;-;-;-;-;-;1;-;2;1;-;-;-;1;1;-;1;4;8;19
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;1;1;-;-;-;-;2;-;5;2;-;2;6;8;15;15;9;13;65;144
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;4;-;-;2;4;5;11;14;7;9;40;96
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;2;17;22
". 057 Rest doenças endócr, nutricion e metabólicas";-;1;1;-;-;-;-;2;-;1;2;-;-;2;1;3;1;2;2;8;26
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;1;2;3;1;1;1;-;-;4;4;17
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;1;3;-;1;1;-;-;2;2;10
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;-;-;-;-;5
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;2;2;7
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;-;-;-;1;1;1;1;1;2;-;1;-;2;1;2;9;16;39
". 060 Meningite";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;11;16
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;4
". 063 Restante das doenças do sistema nervoso";-;-;1;-;-;-;1;1;1;1;-;1;-;1;-;1;-;1;6;3;18
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;1;-;-;1;1;1;1;6;6;9;27;27;18;38;43;68;236;483
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;1;-;2;-;6
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;-;4;7;6;7;7;19;57;107
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;2;1;5;8;5;3;10;12;11;44;101
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;1;1;5;7;3;3;7;10;9;41;87
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;1;3;2;7;6;1;6;7;11;49;93
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;1;1;-;3;1;2;8;8;7;13;15;24;76;159
". 072 Rest doenças do aparelho circulatório";-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;1;2;1;10;17
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;2;-;-;1;1;1;3;1;2;1;7;4;6;5;15;21;117;187
". 074 Pneumonia";-;-;-;1;-;-;-;1;1;2;1;2;1;2;1;3;3;5;9;68;100
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;1;-;-;-;-;-;-;-;-;-;3;1;2;-;6;11;29;53
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;5
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;1;-;-;1;-;-;-;2;2;1;2;4;1;20;34
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;1;1;3;2;3;5;9;6;6;6;12;26;81
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 079 Peritonite";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;2;5
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;1;3;2;1;4;3;1;3;2;2;3;26
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;1;-;2;1;-;2;-;1;2;2;1;-;12
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;1;1;1;1;3;-;1;-;1;2;11
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;3
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;1;1;6;5;3;3;9;19;47
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;1;1;-;9;14
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;1;2;6
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;1;-;1;-;-;1;-;4;2;1;3;4;6;5;17;45
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;1;-;2;2;-;2;1;1;4;8;21
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;3;4;1;9;21
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 090 Causas obstétricas indiretas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";13;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
