 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 250030 ALAGOA GRANDE, 250110 AREIA, 250250 BOQUEIRAO, 250430 CATOLE DO ROCHA, 250440 CONCEICAO, 250480 COREMAS, 250520 CUITEGI, 250600 ESPERANCA, 250680 INGA, 250760 JUAREZ TAVORA, 250880 MALTA, 250915 MARIZOPOLIS, 250970 MONTEIRO, 251130 PIANCO, 251140 PICUI, 251180 PIRPIRITUBA, 251230 PRINCESA ISABEL, 251490 SAO MAMEDE, 251630 SUME, 251690 UIRAUNA
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;1;-;-;1;3;4;7;9;18;17;18;25;29;42;32;30;91;327
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;3
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;1;1;-;1;1;1;8;1;2;4;22;42
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;1;1;-;1;1;1;6;1;1;4;19;36
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;1;5
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;4
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;5
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;5
". 031 Restante algumas doenç infec e parasitárias";-;-;-;1;-;-;1;3;4;6;7;17;16;14;24;20;38;29;25;65;270
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;-;-;7;7;9;14;22;14;25;12;20;29;159
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;2;6
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;2;-;-;6
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;-;-;-;-;2;7
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;4
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;3;1;9
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;2;4;9
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;2;1;1;6;15
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;1;1;3;3;2;1;3;-;3;2;19
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;1;2;1;2;1;1;1;2;-;1;12
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;1;1;1;7
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;-;-;-;-;6
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;3;1;3;-;12
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;3
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;4
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;2;1;1;4;5;3;8;4;2;7;37
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;1;2;7
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;2;6
