 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 250030 ALAGOA GRANDE, 250110 AREIA, 250250 BOQUEIRAO, 250430 CATOLE DO ROCHA, 250440 CONCEICAO, 250480 COREMAS, 250520 CUITEGI, 250600 ESPERANCA, 250680 INGA, 250760 JUAREZ TAVORA, 250880 MALTA, 250915 MARIZOPOLIS, 250970 MONTEIRO, 251130 PIANCO, 251140 PICUI, 251180 PIRPIRITUBA, 251230 PRINCESA ISABEL, 251490 SAO MAMEDE, 251630 SUME, 251690 UIRAUNA
Sexo: Masc
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;3;-;-;-;-;1;-;-;4;2;4;6;6;8;11;10;13;52;-;120
". 001 Doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;5;-;9
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;3
"... 004 Outras doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;-;6
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;3
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;3
". 007-015 Outras doenças bacterianas";-;-;2;-;-;-;-;-;-;-;1;1;2;-;3;2;6;4;8;19;-;48
"... 014 Septicemia";-;-;2;-;-;-;-;-;-;-;-;1;2;-;3;1;6;4;4;14;-;37
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;2;1;-;2;1;-;1;-;-;2;-;9
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;4
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;1;-;5
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;1;-;-;1;-;2;3;1;5;2;5;5;23;-;48
"032-052 NEOPLASIAS";-;-;-;2;-;-;-;1;2;1;4;4;8;10;11;24;24;35;26;57;1;210
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;1;2;3;1;-;1;13
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;1;1;3;-;1;-;-;2;1;-;9
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;3;1;5;2;8;-;23
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;1;-;2;-;7
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;1;1;1;-;7
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;4
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;3;-;7
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;5;5;5;4;6;-;27
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;5;6;12;-;29
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;-;5
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;2;-;-;-;-;-;-;-;-;2;1;2;1;1;2;-;1;-;12
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;2;-;6
". 050 Leucemia";-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;1;1;-;2;-;7
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;2;2;1;-;9
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;1;-;-;2;-;1;-;3;5;4;7;5;14;-;42
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;1;2;-;7
