 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 260030 AGRESTINA, 260050 AGUAS BELAS, 260070 ALIANCA, 260080 ALTINHO, 260110 ARARIPINA, 260160 BELEM DE SAO FRANCISCO, 260300 CABROBO, 260450 CHA GRANDE, 260510 CUSTODIA, 260550 FERREIROS, 260570 FLORESTA, 260610 GLORIA DO GOITA, 260660 IBIMIRIM, 260730 IPUBI, 260810 JOAO ALFREDO, 260845 LAGOA DO CARRO, 260875 LAGOA GRANDE, 260900 MACAPARANA, 260990 OURICURI, 261100 PETROLANDIA, 261130 POMBOS, 261300 SAO BENTO DO UNA, 261310 SAO CAITANO, 261330 SAO JOAQUIM DO MONTE, 261360 SAO JOSE DO EGITO, 261380 SAO VICENTE FERRER, 261410 SERTANIA, 261460 TABIRA, 261500 TAQUARITINGA DO NORTE, 261630 VICENCIA
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";1;3;2;1;1;-;1;-;3;3;2;-;5;2;1;9;7;12;17;47;117
". 001 Doenças infecciosas intestinais";-;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;1;3;3;6;17
"... 003 Diarréia e gastroenterite orig infec pres";-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;5;14
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;3
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;4
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;3
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";1;-;-;-;-;-;-;-;2;2;2;-;1;1;-;6;4;4;10;36;69
"... 009 Hanseníase";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;1;2;2;-;1;1;-;4;3;4;10;31;59
"... 015 Infecções com transmissão predom sexual";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2;-;1;-;1;6
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;3
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;4;2;-;9
"... 025 Leishmaniose";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;2;-;8
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;6
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;6
". 031 Restante algumas doenç infec e parasitárias";-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;6
"032-052 NEOPLASIAS";-;-;-;4;1;1;-;5;6;4;10;16;29;20;36;44;40;49;52;97;414
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;3;7
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;2;2;5;13
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;-;-;1;-;-;5;2;5;3;3;3;23
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;1;1;-;-;2;-;2;3;2;5;3;3;22
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3;1;4;4;10;25
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;2;6;14
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;1;4;1;4;5;6;5;3;7;36
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;2;3;7;5;6;3;5;8;6;12;57
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;1;2;2;5;2;4;2;5;2;-;-;1;26
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;3;1;2;1;4;16
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;1;1;-;-;-;1;1;2;3;-;1;-;4;14
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;1;5
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;1;-;1;-;2;-;-;2;1;1;1;1;1;3;2;3;2;21
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;1;1;-;2;-;-;-;1;1;-;1;1;-;8
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;1;2;1;11
". 050 Leucemia";-;-;-;1;1;-;-;-;-;-;1;-;-;-;1;4;1;1;1;4;15
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;3;2;-;1;1;9
". 052 Restante de neoplasias malignas";-;-;-;2;-;-;-;1;1;-;1;4;8;2;6;3;5;12;14;29;88
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;-;2;2;2;6;17
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;2;2;5;12
