 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 260030 AGRESTINA, 260050 AGUAS BELAS, 260070 ALIANCA, 260080 ALTINHO, 260110 ARARIPINA, 260160 BELEM DE SAO FRANCISCO, 260300 CABROBO, 260450 CHA GRANDE, 260510 CUSTODIA, 260550 FERREIROS, 260570 FLORESTA, 260610 GLORIA DO GOITA, 260660 IBIMIRIM, 260730 IPUBI, 260810 JOAO ALFREDO, 260845 LAGOA DO CARRO, 260875 LAGOA GRANDE, 260900 MACAPARANA, 260990 OURICURI, 261100 PETROLANDIA, 261130 POMBOS, 261300 SAO BENTO DO UNA, 261310 SAO CAITANO, 261330 SAO JOAQUIM DO MONTE, 261360 SAO JOSE DO EGITO, 261380 SAO VICENTE FERRER, 261410 SERTANIA, 261460 TABIRA, 261500 TAQUARITINGA DO NORTE, 261630 VICENCIA
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;2;1;-;-;3;4;5;11;21;25;27;34;36;52;80;71;85;183;1;642
". 001 Doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;1;3;-;9
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;1;2;-;8
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;1;-;-;4
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;1;-;-;4
". 007-015 Outras doenças bacterianas";-;-;1;1;-;-;1;1;-;2;1;-;-;2;2;4;6;10;7;44;-;82
"... 008 Leptospirose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;1;1;-;-;1;1;-;1;1;-;-;2;2;3;5;8;7;35;-;68
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;1;-;-;2;-;2;2;1;-;1;3;-;12
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
