 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 260030 AGRESTINA, 260050 AGUAS BELAS, 260070 ALIANCA, 260080 ALTINHO, 260110 ARARIPINA, 260160 BELEM DE SAO FRANCISCO, 260300 CABROBO, 260450 CHA GRANDE, 260510 CUSTODIA, 260550 FERREIROS, 260570 FLORESTA, 260610 GLORIA DO GOITA, 260660 IBIMIRIM, 260730 IPUBI, 260810 JOAO ALFREDO, 260845 LAGOA DO CARRO, 260875 LAGOA GRANDE, 260900 MACAPARANA, 260990 OURICURI, 261100 PETROLANDIA, 261130 POMBOS, 261300 SAO BENTO DO UNA, 261310 SAO CAITANO, 261330 SAO JOAQUIM DO MONTE, 261360 SAO JOSE DO EGITO, 261380 SAO VICENTE FERRER, 261410 SERTANIA, 261460 TABIRA, 261500 TAQUARITINGA DO NORTE, 261630 VICENCIA
Sexo: Masc
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;3;1;1;2;4;5;10;13;36;46;44;56;54;59;82;66;83;170;-;735
". 001 Doenças infecciosas intestinais";-;-;2;1;-;-;-;-;-;1;-;-;1;1;-;-;2;1;-;5;-;14
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;4;-;9
"... 004 Outras doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;5
". 005-006 Tuberculose";-;-;-;-;1;-;-;-;1;1;2;4;3;2;1;-;1;2;-;-;-;18
"... 005 Tuberculose respiratória";-;-;-;-;1;-;-;-;1;1;2;4;3;1;1;-;1;2;-;-;-;17
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;1;2;-;-;-;-;2;2;8;1;4;8;7;4;30;-;69
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"... 014 Septicemia";-;-;-;-;-;1;2;-;-;-;-;2;1;6;1;4;7;5;1;27;-;57
". 016-023 Doenças virais";-;-;-;-;-;-;-;1;2;-;3;2;2;2;3;-;-;-;-;-;-;15
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;1;2;-;2;2;2;2;3;-;-;-;-;-;-;14
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;2;2;-;9
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;-;2;-;7
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;2;-;5
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;2;-;5
". 031 Restante algumas doenç infec e parasitárias";-;-;1;-;-;1;2;4;7;11;31;38;36;41;48;54;70;53;77;131;-;605
"032-052 NEOPLASIAS";-;-;-;3;1;-;2;3;5;5;7;16;16;26;44;40;56;71;56;102;-;453
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;2;-;6;5;1;4;2;3;1;-;24
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;7;3;-;1;3;-;18
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;3;3;2;6;4;7;7;7;7;-;47
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;1;-;1;-;-;-;2;2;3;2;7;4;6;-;28
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;1;-;-;-;-;-;1;-;1;2;-;-;1;2;4;3;1;-;16
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;2;-;5;4;6;-;20
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;1;1;1;1;3;1;1;1;2;1;-;13
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;1;1;2;1;4;6;5;11;7;4;12;-;54
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;4
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;4;4;10;14;28;-;64
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;-;1;-;6
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;1;-;-;1;2;-;1;1;6;1;3;1;-;1;-;18
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;2;1;1;-;-;7
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;1;-;6
". 050 Leucemia";-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;1;4;2;1;4;-;15
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;1;-;-;-;1;-;-;-;-;-;3;2;-;2;-;3;-;12
". 052 Restante de neoplasias malignas";-;-;-;2;-;-;-;1;2;1;1;4;4;7;9;6;10;19;9;26;-;101
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;1;-;-;-;-;1;-;1;-;-;2;-;1;-;-;4;-;10
". 053 Anemias";-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;-;1;-;-;1;-;6
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;4
