 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220230 CANTO DO BURITI, 220260 CASTELO DO PIAUI, 220370 ESPERANTINA, 220460 HUGO NAPOLEAO, 220550 JOSE DE FREITAS, 220580 LUZILANDIA, 220595 MARCOLANDIA, 220700 OEIRAS, 220780 PAULISTANA, 220790 PEDRO II, 220830 PIRACURUCA, 221000 SAO JOAO DO PIAUI, 221060 SAO RAIMUNDO NONATO
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;-;-;-;-;1;-;-;1;1;1;2;2;3;1;3;5;21
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;3
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;4
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;4
". 007-015 Outras doenças bacterianas";-;-;1;-;-;-;-;-;1;-;-;-;-;1;1;1;1;-;3;1;10
"... 014 Septicemia";-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;1;1;-;3;1;9
"... 015 Infecções com transmissão predom sexual";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"032-052 NEOPLASIAS";-;-;-;-;-;1;3;1;2;4;6;7;14;10;8;15;12;22;18;30;153
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;1;5
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;1;5
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;2;7
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;1;3;1;4;-;16
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;3
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3;1;2;9
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;1;-;2;5;3;1;-;1;1;1;-;3;18
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;1;3;2;3;2;16
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;1;4
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;1;5
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;1;5
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 052 Restante de neoplasias malignas";-;-;-;-;-;1;2;1;1;3;1;-;4;2;1;3;4;8;5;13;49
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;5
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;5
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;1;-;1;-;1;-;-;-;6;5;2;8;14;9;24;49;120
". 055 Diabetes mellitus";-;-;-;-;1;-;1;-;1;-;-;-;5;4;2;8;13;8;21;36;100
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;5
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;2;9;15
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;1;1;2;8
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;3
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;1;5
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;-;-;-;-;1;1;2;1;1;1;-;1;-;1;1;5;14;30
". 060 Meningite";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;13;18
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2
". 063 Restante das doenças do sistema nervoso";-;-;1;-;-;-;-;1;1;1;1;-;-;-;1;-;1;-;1;1;9
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;1;-;-;1;-;-;3;3;2;4;8;14;12;17;26;30;47;154;322
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;5;5;7;10;50;82
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;3;1;-;2;3;4;5;3;6;7;12;34;80
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;3;1;-;2;3;4;5;3;6;7;11;34;79
". 069 Outras doenças cardíacas";-;-;1;-;-;-;-;-;-;-;1;-;2;2;1;4;7;3;5;20;46
". 070 Doenças cerebrovasculares";-;-;-;-;-;1;-;-;-;2;1;1;2;5;4;5;8;12;17;47;105
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;3;8
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;-;-;-;1;-;1;-;2;3;4;3;3;5;10;3;9;66;111
". 074 Pneumonia";-;-;1;-;-;-;1;-;-;-;2;1;2;3;2;3;6;-;4;46;71
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;2;2;2;3;14;26
"... 076.1 Asma";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;3
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;2;1;2;6;14
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;1;-;1;1;1;-;2;3;-;1;-;2;3;5;5;2;18;45
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;5
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;1;-;2;-;2;9
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;1;-;2;6
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;1;3;-;1;-;2;1;3;3;2;12;28
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;3;7
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;1;3;3;-;1;2;-;9;19
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;1;-;-;5;11
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;3;7
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;-;-;1;1;4;1;-;-;-;-;-;-;-;-;-;7
". 089 Outras causas obstétricas diretas";-;-;-;-;-;-;-;1;1;2;1;-;-;-;-;-;-;-;-;-;5
". 090 Causas obstétricas indiretas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 092 Causas maternas tardias e sequelas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";11;10;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
". 093 Feto e recemnasc afet fat mat e compl grav";7;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 097 Rest afec originadas no período perinatal";3;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";2;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
". 098 Malformações congênitas do sistema nervoso";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";1;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
". 100 Rest de malf cong, deform e anomal Cromoss";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;1;-;-;2;1;3;1;4;3;1;3;5;22;46
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;1;-;-;1;1;2;-;4;-;1;1;3;9;23
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;3;-;2;2;12;22
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;-;1;6;3;2;2;2;4;4;4;-;2;1;1;-;12;44
". 104 Acidentes de transporte";-;-;-;-;-;-;5;2;-;2;1;3;3;1;-;-;-;-;-;1;18
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6
". 106 Afogamento e submersões acidentais";-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;-;-;-;-;4
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2
". 110 Agressões";-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;1;-;-;-;-;5
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;4;7
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
"Total";13;10;11;3;1;4;12;8;14;17;20;21;44;41;37;57;76;79;115;389;972
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
