 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220230 CANTO DO BURITI, 220260 CASTELO DO PIAUI, 220370 ESPERANTINA, 220460 HUGO NAPOLEAO, 220550 JOSE DE FREITAS, 220580 LUZILANDIA, 220595 MARCOLANDIA, 220700 OEIRAS, 220780 PAULISTANA, 220790 PEDRO II, 220830 PIRACURUCA, 221000 SAO JOAO DO PIAUI, 221060 SAO RAIMUNDO NONATO
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;1;-;1;2;-;-;3;1;2;1;5;6;5;7;8;36;-;79
". 001 Doenças infecciosas intestinais";-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;1;3;-;7
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;4
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;3
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;3
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;3
". 007-015 Outras doenças bacterianas";-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;4;4;2;12;-;26
"... 014 Septicemia";-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;3;2;1;10;-;20
". 016-023 Doenças virais";-;-;-;-;-;-;-;2;-;-;2;-;2;-;-;-;1;-;-;-;-;7
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;1;-;-;-;-;4
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;4
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;3
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;5;-;2;4;19;-;32
"032-052 NEOPLASIAS";-;-;-;-;-;-;1;1;-;-;1;8;9;10;12;18;16;19;14;18;-;127
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;1;-;-;6
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;5
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;-;-;-;5
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;4
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;3;4;-;2;-;15
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;3;1;-;2;2;-;12
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;2;2;2;4;2;4;2;-;2;-;20
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;2;1;-;-;7
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-;-;4
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;2;-;1;2;1;-;10
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;3
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;1;-;-;5
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;2;2;2;3;9;-;24
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;3;-;6
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3;-;5
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;1;-;-;2;1;3;6;7;9;13;16;26;57;-;142
". 055 Diabetes mellitus";-;-;-;-;-;-;-;1;-;-;2;-;3;6;5;9;13;13;24;50;-;126
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;3;2;2;-;11
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;1;2;1;8
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;1;1;-;5
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;2;1;-;1;-;2;-;1;-;-;1;2;3;5;23;-;41
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;4;16;-;25
". 062 Epilepsia";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;1;1;-;1;-;1;-;1;-;-;-;-;1;1;7;-;14
"064 DOENÇAS DOS OLHOS E ANEXOS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;1;1;-;-;2;1;-;2;1;9;8;13;13;14;21;38;44;216;-;384
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;1;-;4;1;2;5;7;8;68;-;97
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;1;-;-;2;-;3;2;5;5;9;4;8;14;65;-;118
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;1;-;-;2;-;3;2;5;5;9;4;8;14;59;-;112
". 069 Outras doenças cardíacas";-;-;1;1;-;-;-;-;-;-;-;3;3;2;1;2;4;6;6;18;-;47
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;1;1;-;-;-;2;3;1;6;-;8;17;16;62;-;117
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;3;-;5
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;1;1;-;1;2;2;2;-;1;2;5;4;8;5;16;7;63;-;120
". 073 Influenza (gripe)";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;4
". 074 Pneumonia";-;-;-;-;1;-;-;1;1;1;-;-;-;3;3;2;2;10;6;44;-;74
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;2;2;4;1;8;-;21
"... 076.1 Asma";-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;5
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;1;-;-;1;2;1;1;2;1;2;-;10;-;21
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;3;-;-;-;1;-;1;-;1;1;1;1;3;2;8;10;6;16;-;54
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;3;-;6
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;1;-;5
". 080 Doenças do fígado";-;-;1;-;-;-;-;-;-;-;1;-;1;-;2;-;3;-;-;2;-;10
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;3
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;1;-;4
"... 080.3 Outras doenças do fígado";-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;3
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
". 082 Rest doenças do aparelho digestivo";-;-;2;-;-;-;1;-;1;-;-;1;-;-;-;1;3;8;5;9;-;31
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;1;4;-;9
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;1;-;1;-;5
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;-;5;2;4;-;17
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;-;3;-;3;-;12
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;-;-;-;1;5;2;1;-;-;-;-;-;-;-;-;-;-;9
". 088 Gravidez que termina em aborto";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 089 Outras causas obstétricas diretas";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
". 090 Causas obstétricas indiretas";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
". 092 Causas maternas tardias e sequelas";-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;4
