 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220230 CANTO DO BURITI, 220260 CASTELO DO PIAUI, 220370 ESPERANTINA, 220460 HUGO NAPOLEAO, 220550 JOSE DE FREITAS, 220580 LUZILANDIA, 220595 MARCOLANDIA, 220700 OEIRAS, 220780 PAULISTANA, 220790 PEDRO II, 220830 PIRACURUCA, 221000 SAO JOAO DO PIAUI, 221060 SAO RAIMUNDO NONATO
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;1;1;-;-;-;1;2;5;5;3;1;2;1;6;2;4;14;-;48
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;4
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
". 005-006 Tuberculose";-;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;-;-;1;1;-;6
"... 005 Tuberculose respiratória";-;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;-;-;1;1;-;6
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;2;1;3;6;-;15
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;3;4;-;11
"... 015 Infecções com transmissão predom sexual";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;1;-;-;-;-;1;1;3;3;2;-;1;-;-;-;-;-;-;12
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;1;-;-;-;-;1;1;3;3;2;-;1;-;-;-;-;-;-;12
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;-;3;-;9
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;3;-;8
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"032-052 NEOPLASIAS";-;-;-;2;-;1;-;1;1;3;2;2;7;7;16;17;15;24;13;31;-;142
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;3
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;3;-;-;-;6
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;2;1;1;2;-;10
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;4;2;-;10
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;1;-;2;-;6
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;3;1;-;-;8
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;2;2;5;1;3;-;16
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;3;4;3;10;-;24
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;1;-;1;-;-;1;-;2;-;1;2;-;-;-;-;-;8
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;-;4
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;4
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;1;2;-;7
". 052 Restante de neoplasias malignas";-;-;-;2;-;-;-;-;1;-;1;-;3;2;3;6;3;2;1;7;-;31
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;1;-;2;-;6
". 053 Anemias";-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;5
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;1;1;2;2;3;5;8;2;5;9;13;6;26;-;83
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;2;1;3;3;4;1;4;7;12;6;18;-;61
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;3;-;6
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;1;1;-;1;-;2;2;1;1;1;1;-;5;-;16
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;2;1;-;2;1;-;3;1;-;1;-;-;1;1;13
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;-;2;1;-;2;1;-;1;-;-;1;1;10
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;1;-;1;1;-;2;1;-;1;-;-;-;1;8
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;1;2;-;2;-;-;1;2;-;3;1;1;-;4;4;14;-;35
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;8;-;11
". 062 Epilepsia";-;-;-;-;-;1;-;1;-;-;1;2;-;2;1;-;-;1;-;-;-;9
". 063 Restante das doenças do sistema nervoso";-;-;-;-;1;1;-;1;-;-;-;-;-;1;-;1;-;3;1;6;-;15
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;2;1;-;1;1;3;9;12;9;25;23;24;43;40;63;162;-;418
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;1;2;-;1;2;3;3;8;11;9;9;41;-;90
". 068 Doenças isquêmicas do coração";-;-;-;-;1;-;-;1;-;-;4;4;5;13;12;7;15;11;21;42;-;136
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;1;-;-;1;-;-;4;4;4;13;12;7;14;11;21;40;-;132
". 069 Outras doenças cardíacas";-;-;-;-;1;-;-;-;-;-;2;-;1;3;3;1;2;6;6;22;-;47
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;1;3;7;1;5;5;8;13;14;25;51;-;133
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;6;-;10
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;2;1;1;1;2;-;2;1;4;2;2;1;5;7;11;7;25;66;-;140
". 074 Pneumonia";-;-;-;1;1;-;1;-;1;1;3;2;2;1;2;3;6;4;12;46;-;86
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;3;12;15;-;36
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 077 Restante  doenças do aparelho respiratório";-;-;2;-;-;1;1;-;1;-;1;-;-;-;1;2;3;-;1;5;-;18
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;1;-;1;1;-;-;3;3;5;7;3;6;7;5;5;8;2;9;-;66
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;4
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
". 080 Doenças do fígado";-;-;-;-;1;-;-;-;2;2;3;7;1;6;6;3;1;4;-;1;-;37
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;1;1;2;5;-;1;2;2;1;1;-;-;-;16
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;1;-;1;2;-;3;2;1;-;1;-;1;-;12
"... 080.3 Outras doenças do fígado";-;-;-;-;1;-;-;-;-;1;-;-;1;2;2;-;-;2;-;-;-;9
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 082 Rest doenças do aparelho digestivo";-;-;1;-;-;1;-;-;1;-;2;-;2;-;1;1;4;3;-;5;-;21
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;-;7
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;1;1;-;1;1;-;1;2;3;3;2;3;15;-;33
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;3
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;3;3;-;-;4;-;14
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;1;3;9;-;16
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";14;4;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
". 093 Feto e recemnasc afet fat mat e compl grav";6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
". 097 Rest afec originadas no período perinatal";2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";5;4;4;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;15
". 098 Malformações congênitas do sistema nervoso";1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 099 Malf congênitas do aparelho circulatório";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 100 Rest de malf cong, deform e anomal Cromoss";3;3;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;2;-;-;-;-;-;-;3;3;1;3;5;4;5;4;7;5;26;-;68
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;-;-;1;-;2;3;2;2;2;5;4;13;-;34
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;2;-;-;-;-;-;-;3;2;1;1;2;2;3;2;2;1;12;-;33
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;1;1;2;20;22;25;22;25;11;8;20;4;7;8;5;10;9;-;200
". 104 Acidentes de transporte";-;-;-;-;1;-;11;10;9;11;12;4;4;13;3;4;3;1;5;-;-;91
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;-;1;4;-;9
". 106 Afogamento e submersões acidentais";-;-;-;1;-;1;-;1;1;2;-;2;-;1;-;-;-;-;-;-;-;9
". 107 Exposição à fumaça, ao fogo e às chamas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;1;4;4;3;1;4;3;2;1;-;1;-;1;3;3;-;31
". 110 Agressões";-;-;-;-;-;-;4;7;12;7;4;2;1;3;1;1;2;-;-;-;-;44
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;4
". 113 Todas as outras causas externas";-;-;-;-;-;-;1;-;-;-;3;-;1;1;-;-;1;2;1;1;-;11
"Total";19;8;12;6;7;9;22;30;36;39;59;49;41;80;68;76;106;113;137;379;1;1297
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
