 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220230 CANTO DO BURITI, 220260 CASTELO DO PIAUI, 220370 ESPERANTINA, 220460 HUGO NAPOLEAO, 220550 JOSE DE FREITAS, 220580 LUZILANDIA, 220595 MARCOLANDIA, 220700 OEIRAS, 220780 PAULISTANA, 220790 PEDRO II, 220830 PIRACURUCA, 221000 SAO JOAO DO PIAUI, 221060 SAO RAIMUNDO NONATO
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;1;4;4;6;11;5;13;15;17;22;21;28;53;200
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;4;8
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;2;6
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;4
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;4
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;1;1;2;2;-;1;2;1;4;14
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;-;-;1;4;10
". 016-023 Doenças virais";-;-;-;-;-;-;-;1;1;2;1;2;-;1;1;1;-;-;-;1;11
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;1;1;2;1;1;-;1;1;-;-;-;-;-;8
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;-;3;2;11
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;3;2;9
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;1;2;4;7;4;9;11;15;17;18;23;41;152
"032-052 NEOPLASIAS";-;-;-;2;2;-;2;1;1;1;2;2;2;11;6;17;14;25;22;33;143
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;4
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;3
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;-;-;2;1;1;9
