 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 240010 ACARI, 240080 ANGICOS, 240100 APODI, 240145 BARAUNA, 240170 BOM JESUS, 240180 BREJINHO, 240185 CAICARA DO NORTE, 240230 CARAUBAS, 240240 CARNAUBA DOS DANTAS, 240300 CRUZETA, 240340 EQUADOR, 240485 ITAJA, 240490 ITAU, 240500 JACANA, 240540 JAPI, 240570 JARDIM DO SERIDO, 240580 JOAO CAMARA, 240670 LAJES, 240720 MACAU, 240760 MESSIAS TARGINO, 240830 NOVA CRUZ, 240930 PATU, 241100 RODOLFO FERNANDES, 241160 SAO BENTO DO NORTE, 241190 SAO FRANCISCO DO OESTE, 241210 SAO JOAO DO SABUGI, 241240 SAO JOSE DO SERIDO, 241250 SAO MIGUEL, 241260 SAO PAULO DO POTENGI, 241450 UMARIZAL, 241470 VARZEA
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;1;1;-;-;3;1;10;5;21;19;21;24;31;32;28;20;88;306
". 001 Doenças infecciosas intestinais";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;4;8
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;5
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;1;-;1;-;2;1;1;1;2;2;5;1;14;31
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;1;-;3;1;13;22
". 016-023 Doenças virais";-;-;1;-;-;-;-;1;-;1;1;-;1;-;-;1;-;-;-;2;8
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;1;-;-;-;-;5
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;1;-;-;1;1;7;4;19;17;20;22;28;28;21;18;68;255
"032-052 NEOPLASIAS";-;-;-;-;-;-;1;1;-;3;4;8;9;12;28;20;13;28;30;47;204
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;3
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;2;2;-;2;10
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;1;2;4;5;18
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;2;6
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;1;1;1;5;12
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;3;2;2;3;2;17
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;1;-;-;3;3;4;4;-;6;4;2;27
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;1;2;1;8
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;3;1;2;10
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;2;-;1;7
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;5
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;2;1;6
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 050 Leucemia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;3;1;6
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;1;3;8
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;2;2;4;1;3;8;6;3;6;3;17;55
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;3;1;5;13
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;1;5;12
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;1;2;1;4;5;5;8;10;19;17;70;142
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;1;2;1;4;2;5;7;7;19;15;56;119
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;9;11
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;3;-;1;5;12
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;-;4;10
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;-;1;6
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;4
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;1;-;-;-;1;-;1;-;1;1;-;-;1;1;1;1;32;42
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;25;28
". 062 Epilepsia";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;3
". 063 Restante das doenças do sistema nervoso";-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;6;11
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;2;4;10;3;7;17;18;27;40;52;189;369
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;2;1;2;1;2;4;9;7;55;84
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;3;1;2;6;8;12;14;25;49;120
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;3;1;2;6;8;11;14;18;43;106
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;2;2;2;-;1;3;3;4;6;3;36;62
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;2;1;2;6;4;5;9;15;43;87
". 071 Aterosclerose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;2;6;12
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;-;-;-;-;-;-;2;1;1;3;5;6;2;4;11;22;79;137
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;1;1;1;1;4;3;2;3;8;10;44;78
". 076 Doenças crônicas das vias aéreas inferiores";-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;9;19;33
"... 076.1 Asma";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;4
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;1;-;-;2;1;1;-;-;2;3;15;25
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;3;-;-;1;-;-;-;2;1;3;5;4;10;5;21;55
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 080 Doenças do fígado";-;-;-;-;-;1;-;-;1;-;-;-;1;1;1;2;-;1;1;1;10
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;4
"... 080.3 Outras doenças do fígado";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;4
