 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 240010 ACARI, 240080 ANGICOS, 240100 APODI, 240145 BARAUNA, 240170 BOM JESUS, 240180 BREJINHO, 240185 CAICARA DO NORTE, 240230 CARAUBAS, 240240 CARNAUBA DOS DANTAS, 240300 CRUZETA, 240340 EQUADOR, 240485 ITAJA, 240490 ITAU, 240500 JACANA, 240540 JAPI, 240570 JARDIM DO SERIDO, 240580 JOAO CAMARA, 240670 LAJES, 240720 MACAU, 240760 MESSIAS TARGINO, 240830 NOVA CRUZ, 240930 PATU, 241100 RODOLFO FERNANDES, 241160 SAO BENTO DO NORTE, 241190 SAO FRANCISCO DO OESTE, 241210 SAO JOAO DO SABUGI, 241240 SAO JOSE DO SERIDO, 241250 SAO MIGUEL, 241260 SAO PAULO DO POTENGI, 241450 UMARIZAL, 241470 VARZEA
Sexo: Masc
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;4;-;-;1;-;4;2;1;1;5;2;2;2;6;3;4;6;14;58
". 001 Doenças infecciosas intestinais";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;6
"... 003 Diarréia e gastroenterite orig infec pres";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;5
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;2;1;-;-;2;8
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;2;1;-;-;2;8
". 007-015 Outras doenças bacterianas";-;-;2;-;-;1;-;-;-;-;-;1;1;1;-;2;2;1;5;8;24
"... 008 Leptospirose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
"... 014 Septicemia";-;-;2;-;-;1;-;-;-;-;-;-;1;1;-;1;1;1;4;7;19
". 016-023 Doenças virais";-;-;1;-;-;-;-;-;2;-;-;4;-;-;1;-;-;1;-;1;10
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;1;-;-;-;-;-;2;-;-;4;-;-;1;-;-;1;-;-;9
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;2;-;-;-;-;1;1;1;1;-;-;-;-;6
"... 025 Leishmaniose";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;4
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"032-052 NEOPLASIAS";-;-;-;-;2;1;2;2;-;5;-;2;4;12;23;18;26;23;38;63;221
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;2;1;-;1;9
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;1;-;-;1;-;3;-;2;4;1;1;13
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;2;3;-;7;3;21
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;3;4;12
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;3;-;-;-;5
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;2;4;9
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;3
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;2;3;4;7;21
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;3;6;6;24;44
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;1;-;-;-;-;1;-;-;-;1;3;1;-;-;1;-;8
". 048 Linfoma não-Hodgkin";-;-;-;-;-;1;-;1;-;-;-;1;-;1;1;1;-;2;-;-;8
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 050 Leucemia";-;-;-;-;1;-;2;1;-;1;-;-;1;1;2;1;-;1;3;2;16
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;4
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;4;6;5;7;13;40
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;2;5
". 053 Anemias";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2;4
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;1;-;-;3;1;7;8;5;8;21;12;13;41;121
". 055 Diabetes mellitus";-;-;1;-;-;-;-;-;-;-;1;1;5;7;5;6;20;11;12;28;97
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;6;9
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;1;-;-;2;-;1;1;-;2;1;-;-;7;15
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;2;1;5;-;4;5;4;3;3;-;6;33
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;2;1;5;-;4;5;4;2;3;-;3;29
