 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 280020 AQUIDABA, 280120 CANINDE DE SAO FRANCISCO, 280160 CEDRO DE SAO JOAO, 280450 NOSSA SENHORA DA GLORIA, 280460 NOSSA SENHORA DAS DORES, 280550 POCO VERDE, 280600 RIBEIROPOLIS, 280710 SIMAO DIAS
Sexo: Masc
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;1;1;1;-;3;3;-;-;3;4;3;1;2;2;4;8;36
". 001 Doenças infecciosas intestinais";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;3;3;8
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;3;3;8
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;2;-;-;3;8
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;2;6
". 016-023 Doenças virais";-;-;-;-;1;-;1;-;2;1;-;-;3;3;1;1;-;-;-;-;13
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;2;1;-;-;3;3;1;1;-;-;-;-;11
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"032-052 NEOPLASIAS";-;-;-;-;2;1;-;-;2;2;2;1;4;5;2;5;9;9;12;29;85
