 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;1;-;-;-;-;1;-;1;-;-;-;1;-;4
". 007-015 Outras doenças bacterianas";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2
"... 014 Septicemia";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"032-052 NEOPLASIAS";-;-;-;-;-;1;-;-;-;2;1;-;1;-;1;-;6
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;1;1;1;-;-;-;-;1;-;-;-;3;1;1;2;11
". 055 Diabetes mellitus";-;-;-;1;-;-;-;-;1;-;-;-;3;1;1;2;9
