 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Fem
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"1 a 4 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"35 a 39 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;3
". 024-027 Doenças transmitidas por protozoários";-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;3
"... 025 Leishmaniose";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"032-052 NEOPLASIAS";-;-;-;-;1;-;1;-;2;-;-;2;1;1;-;8
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 050 Leucemia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;3
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
". 053 Anemias";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;1;-;-;-;1;-;1;1;4;8
". 055 Diabetes mellitus";-;-;-;-;-;-;1;-;-;-;1;-;-;1;3;6
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;2;1;1;2;4;14;24
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;4;5
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;-;-;1;1;3;6
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;-;-;1;1;3;6
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;1;-;1;3;5;10
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;4
". 074 Pneumonia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;3
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 094 Transt relac duração gestação e cresc fetal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;-;-;3;-;6;9
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;-;-;-;3;-;5;8
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;1;-;2;-;-;-;-;1;-;1;-;-;5
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 110 Agressões";-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;3
". 113 Todas as outras causas externas";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"Total";3;1;1;2;1;2;4;2;2;2;3;5;11;8;29;76
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
