 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"032-052 NEOPLASIAS";-;-;-;-;-;1;-;3;2;-;1;2;1;1;11
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;1;-;-;1;1;2;1;3;-;4;13
". 055 Diabetes mellitus";-;-;-;-;1;-;-;1;1;2;1;3;-;3;12
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 059 Rest transtornos mentais e comportamentais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;2;3;3;-;17;25
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;1;-;3;5
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;1;-;-;4;6
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;1;-;-;4;6
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;2;-;4;6
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;1;1;-;-;4;6
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;1;-;-;-;-;-;-;-;-;-;-;-;2;3
". 074 Pneumonia";-;1;-;-;-;-;-;-;-;-;-;-;-;2;3
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;1;-;1;-;-;-;-;1;-;3
". 080 Doenças do fígado";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 089 Outras causas obstétricas diretas";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 096 Trans resp e cardiovas espec per perinatal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 098 Malformações congênitas do sistema nervoso";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;2;-;1;-;-;-;-;5;8
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;2;-;1;-;-;-;-;5;8
