 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"28 a 364 dias";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;2;-;-;-;1;-;-;2;1;3;2;11
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;2;-;-;-;-;-;-;2;1;3;-;8
"032-052 NEOPLASIAS";-;1;-;-;-;-;-;2;2;-;1;-;1;7
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;1;1;-;-;-;-;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 050 Leucemia";-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;1;-;-;1;-;-;-;-;2
". 053 Anemias";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;1;1;-;-;-;1;-;4;7
". 055 Diabetes mellitus";-;-;-;-;-;1;1;-;-;-;1;-;4;7
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;1;1;-;2;1;2;3;4;4;20;38
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;1;4;5
". 068 Doenças isquêmicas do coração";-;-;-;-;1;-;1;-;1;2;1;-;3;9
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;1;-;1;-;1;2;-;-;3;8
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;2;1;5;8
". 070 Doenças cerebrovasculares";-;-;-;1;-;-;1;1;1;-;-;2;8;14
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;1;-;-;6;7
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;1;-;-;4;5
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;1;-;1;-;-;-;1;3
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 090 Causas obstétricas indiretas";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;1;-;-;1;1;-;-;3
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;1;-;-;1;1;-;-;3
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"Total";1;1;2;1;2;2;6;4;6;7;8;7;37;84
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
