 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Masc
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;1;-;-;-;-;-;-;-;-;1;1;2;1;1;-;7
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;4
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;3
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 025 Leishmaniose";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;-;1;-;3;1;1;-;1;2;2;11
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;4
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
