 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 291320 IBOTIRAMA
Sexo: Masc
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;-;-;1;-;1;-;-;1;3;-;2;-;2;11
". 001 Doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;-;-;4
"... 009 Hanseníase";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;3
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;2;1;-;-;1;1;2;5;2;2;16
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;3
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;3
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;3
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;3
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;3
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 063 Restante das doenças do sistema nervoso";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;1;-;-;-;2;-;-;3;3;4;2;2;17;34
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;5;8
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;5;8
". 069 Outras doenças cardíacas";-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;5;9
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;-;-;3;-;1;2;2;3;12
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;1;1;1;-;-;-;2;1;1;7
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;1;4
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;1;-;-;2;1;1;-;1;6
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;3
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;3
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;3
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3
". 086 Insuficiência renal";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
