 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;1;2;8
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3
". 007-015 Outras doenças bacterianas";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 015 Infecções com transmissão predom sexual";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;2
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;-;-;-;1;-;1;-;2;3;1;1;1;-;2;5;8;25
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 050 Leucemia";-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;1;-;1;2;-;-;-;-;1;4;4;13
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;1;1;5
". 053 Anemias";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;1;-;-;-;-;-;-;-;-;1;-;-;1;2;1;-;-;10;16
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;6;9
". 056 Desnutrição";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;4
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;-;-;2;2;-;2;2;5;2;27;42
