 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Fem
Período:2018
"Causa - CID-BR-10";"7 a 27 dias";"28 a 364 dias";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;5
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;4
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"032-052 NEOPLASIAS";-;-;1;-;1;-;1;1;2;2;4;2;2;2;6;24
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;1;-;-;-;-;-;-;-;1;-;1;-;1;4
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
". 050 Leucemia";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;1;-;2;-;1;-;-;-;4;8
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;1;-;2;-;4;5;12
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;1;-;1;-;4;3;9
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;3
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;3
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;1;-;1;-;-;-;-;-;-;-;-;-;-;3;5
". 060 Meningite";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 063 Restante das doenças do sistema nervoso";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;3;-;-;5;-;2;2;4;8;19;43
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;6
". 068 Doenças isquêmicas do coração";-;-;-;-;-;3;-;-;3;-;-;-;2;1;4;13
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;3;-;-;3;-;-;-;2;-;2;10
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;1;-;-;2;1;1;3;8
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;-;1;-;1;4;7;14
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;2;10;12
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;-;2;7;9
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;1;-;1;-;1;1;-;-;-;2;4;10
". 080 Doenças do fígado";-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;4
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;1;-;-;-;-;1;-;-;-;1;3;6
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;1;-;-;-;-;2;3;6
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;1;-;-;-;-;2;3;6
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2
". 089 Outras causas obstétricas diretas";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 098 Malformações congênitas do sistema nervoso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 100 Rest de malf cong, deform e anomal Cromoss";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;1;-;-;-;-;1;-;-;2;-;7;11
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
". 102 Morte sem assistência médica";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;1;-;-;1;-;4;6
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;2;1;-;1;-;-;1;-;-;-;-;-;2;7
". 104 Acidentes de transporte";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 106 Afogamento e submersões acidentais";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 110 Agressões";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;3
"Total";1;4;4;3;3;6;2;1;10;5;6;7;9;21;63;145
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
