 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;1;-;3;2;-;5;2;4;4;10;31
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;4
"... 014 Septicemia";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;4
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;1;-;2;1;-;3;2;4;4;7;24
"032-052 NEOPLASIAS";-;-;-;-;-;1;1;1;1;1;4;2;3;2;2;10;28
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;1;1;1;1;-;2;1;1;-;-;8;16
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;1;-;-;-;-;1;1;1;1;2;4;12
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;3;9
". 056 Desnutrição";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 062 Epilepsia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;1;3;3;3;4;4;3;7;17;45
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;4;10
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;1;1;-;-;2;2;1;2;9
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;1;1;-;-;2;2;1;2;9
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;1;1;2;2;3;1;-;2;8;20
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;4
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;2;-;2;-;1;1;2;14;22
". 074 Pneumonia";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;7;9
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;1;-;2;-;1;-;2;4;10
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;-;2;1;1;1;-;-;1;7
". 080 Doenças do fígado";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;3
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;4
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2
". 089 Outras causas obstétricas diretas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 092 Causas maternas tardias e sequelas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
". 098 Malformações congênitas do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 100 Rest de malf cong, deform e anomal Cromoss";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;1;-;-;-;1;1;-;1;3;3;-;2;1;3;13;29
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;1;-;-;-;1;1;-;1;3;3;-;2;1;3;12;28
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;1;1;1;1;1;2;-;-;-;-;-;1;5;14
". 104 Acidentes de transporte";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
". 105 Quedas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;4
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 110 Agressões";-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;1;4
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"Total";3;2;2;1;3;4;5;5;12;11;14;13;15;13;23;77;203
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
