 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;1;-;2;-;-;1;-;3;-;1;3;11
". 005-006 Tuberculose";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;3
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;3
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;1;2;7
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;1;2;7
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;-;2;2;3;-;4;4;1;6;9;31
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;6
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;1;1;1;-;1;4;1;2;4;15
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;1;-;1;-;-;-;1;1;1;2;1;5;13
". 055 Diabetes mellitus";-;-;-;-;-;-;1;-;1;-;-;-;1;1;1;2;1;4;12
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;1;-;1;-;1;1;2;-;1;-;7
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;-;1;-;1;1;2;-;1;-;7
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;1;-;1;-;1;1;2;-;-;-;6
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;4
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 062 Epilepsia";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;1;-;-;-;-;-;1;1;2;5;7;2;20;39
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;5;9
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;5;8
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;5;8
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;4;8
". 070 Doenças cerebrovasculares";-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;2;1;5;11
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;3
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;1;-;-;1;1;-;3;-;2;1;2;8;19
". 074 Pneumonia";-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;6;9
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;2;6
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;-;4
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;1;-;-;-;-;-;1;1;1;2;-;1;3;1;1;3;15
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;1;-;1;-;-;3;-;-;1;7
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;-;4
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
