 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;1;1;1;1;-;1;-;3;2;2;-;1;12;26
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5;6
"... 014 Septicemia";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5;6
". 016-023 Doenças virais";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;1;1;-;1;1;-;-;-;3;1;1;-;1;7;17
"032-052 NEOPLASIAS";-;1;1;1;-;-;-;-;-;4;-;1;5;4;7;10;34
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;3
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
