 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 312560 FELISBURGO, 313580 JEQUITINHONHA, 313930 MANGA
Sexo: Masc
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;1;1;1;4;7;5;1;2;4;5;17;48
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;2;4;9
"... 014 Septicemia";-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;2;3;8
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;1;1;-;4;5;2;1;2;3;3;12;34
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;1;2;-;5;2;2;3;3;4;4;26
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;4
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;1;-;2;1;-;3;2;1;3;13
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;3
". 053 Anemias";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2
". 054 Rest d sangue, org hemat e alg transt imunit";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;2;-;1;-;1;2;-;2;2;10
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;2;-;1;-;1;1;-;2;-;7
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
". 062 Epilepsia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;1;-;1;-;2;3;5;3;3;7;6;11;24;66
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;2;1;-;1;2;-;3;5;14
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;1;-;1;2;1;3;1;1;2;12
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;1;-;1;2;1;3;1;1;2;12
". 069 Outras doenças cardíacas";-;-;-;-;1;-;1;-;-;1;2;1;1;1;2;2;7;19
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;-;1;-;-;1;3;4;8;18
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;1;-;-;-;2;-;3;4;3;10;23
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;4;6
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;2;3;9
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;1;3;8
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;1;2;2;1;-;2;3;1;3;16
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;1;1;-;1;-;-;1;1;-;1;6
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;1;1;-;1;-;-;1;1;-;1;6
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;2;-;1;-;1;2;1;2;9
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;4
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 093 Feto e recemnasc afet fat mat e compl grav";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;1;1;-;5;4;4;5;1;9;30
