 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 260740 ITACURUBA
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"30 a 34 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"032-052 NEOPLASIAS";1;-;-;-;1;2;-;-;1;5
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;1;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;1;1
". 041 Neoplasia maligna da mama";1;-;-;-;-;-;-;-;-;1
". 042 Neoplasia maligna do colo do útero";-;-;-;-;1;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;1;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;1;-;1;1;1;5
". 055 Diabetes mellitus";-;-;-;-;1;-;-;1;1;3
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;1;-;-;-;1;-;-;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;1;-;1;1;-;1;4
". 068 Doenças isquêmicas do coração";-;-;-;-;-;1;1;-;-;2
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;1;-;-;-;1
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;1;1
". 070 Doenças cerebrovasculares";-;-;-;1;-;-;-;-;-;1
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;1;1
". 074 Pneumonia";-;-;-;-;-;-;-;-;1;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;1;-;-;-;1;-;-;-;2
". 103 Rest sint, sin e ach anorm clín e laborat";-;1;-;-;-;1;-;-;-;2
"Total";1;1;1;1;2;4;2;1;4;17
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
