 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 260740 ITACURUBA
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;1;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;1;-;-;1
". 041 Neoplasia maligna da mama";-;-;-;1;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";1;-;-;-;1;-;2
". 056 Desnutrição";-;-;-;-;1;-;1
". 057 Rest doenças endócr, nutricion e metabólicas";1;-;-;-;-;-;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;1;-;-;-;-;1
". 058 Transt ment e comport uso subst psicoativas";-;1;-;-;-;-;1
"... 058.1 Trans ment e comport devid uso álcool";-;1;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;1;-;-;-;-;1
". 068 Doenças isquêmicas do coração";-;1;-;-;-;-;1
"... 068.1 Infarto agudo do miocárdio";-;1;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;1;-;-;1
". 086 Insuficiência renal";-;-;-;1;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;1;-;1;2
". 101 Senilidade";-;-;-;-;-;1;1
". 102 Morte sem assistência médica";-;-;-;1;-;-;1
"Total";1;2;1;3;1;1;9
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
