 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 260740 ITACURUBA
Sexo: Masc
Período:2017
"Causa - CID-BR-10";"28 a 364 dias";"30 a 34 anos";"35 a 39 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"032-052 NEOPLASIAS";-;-;-;1;1;-;-;-;-;2
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;1;-;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;1;-;-;-;-;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;1;1;-;-;-;2
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;1;-;-;-;-;1
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;1;-;-;-;-;1
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;1;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;1;1;-;-;1;1;-;4
". 068 Doenças isquêmicas do coração";-;-;-;1;-;-;-;1;-;2
"... 068.1 Infarto agudo do miocárdio";-;-;-;1;-;-;-;1;-;2
". 069 Outras doenças cardíacas";-;-;1;-;-;-;-;-;-;1
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;1;-;-;1
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;1;-;1;2
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;1;-;-;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;1;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";1;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;1;-;1;-;-;-;2
". 102 Morte sem assistência médica";-;-;-;1;-;1;-;-;-;2
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;1;-;-;-;-;-;-;1;2
". 107 Exposição à fumaça, ao fogo e às chamas";-;-;-;-;-;-;-;-;1;1
". 110 Agressões";-;1;-;-;-;-;-;-;-;1
"Total";1;1;1;3;2;2;2;1;2;15
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
