 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 260740 ITACURUBA
Sexo: Masc
Período:2022
"Causa - CID-BR-10";"15 a 19 anos";"40 a 44 anos";"65 a 69 anos";"75 a 79 anos";"80 anos e mais";"Total"
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";1;-;-;-;-;1
". 053 Anemias";1;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;1;3;2;2;8
". 068 Doenças isquêmicas do coração";-;-;1;1;2;4
"... 068.1 Infarto agudo do miocárdio";-;-;1;1;2;4
". 070 Doenças cerebrovasculares";-;1;1;1;-;3
". 072 Rest doenças do aparelho circulatório";-;-;1;-;-;1
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;1;-;1
". 074 Pneumonia";-;-;-;1;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;1;1;2
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;1;1;2
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;-;1;1
". 113 Todas as outras causas externas";-;-;-;-;1;1
"Total";1;1;3;4;4;13
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
