 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
"... 008 Leptospirose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;-;-;-;1;-;-;-;1;3;1;3;-;2;2;-;2;15
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;3
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3;1;6;12
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;5;10
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;2;1;-;-;1;1;4;8;3;17;37
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;5;10
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;3;6
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;2;5
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3;5
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4;1;6;15
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;3;3;3;5;18
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 074 Pneumonia";-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;1;1;1;2;9
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;5
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
