 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;3;6
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;3;5
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;3;5
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"032-052 NEOPLASIAS";-;-;1;-;1;-;-;-;-;-;-;-;4;1;3;-;2;2;14
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;3
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
". 050 Leucemia";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;3
". 052 Restante de neoplasias malignas";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;3
". 053 Anemias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;3
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;6;10
