 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"15 a 19 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";1;-;-;-;1;-;1;-;-;-;-;1;-;2;1;4;11
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 007-015 Outras doenças bacterianas";1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;4
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3
"... 015 Infecções com transmissão predom sexual";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;3
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;3
"032-052 NEOPLASIAS";-;-;1;-;-;-;1;2;1;-;-;2;2;2;4;4;19
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;3
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;3
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 050 Leucemia";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;4
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;1;1;2;2;-;3;8;17
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;1;1;1;-;3;7;13
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;4
