 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;1;-;-;5
". 007-015 Outras doenças bacterianas";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
"... 014 Septicemia";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;1;-;1;1;-;3;1;-;2;1;6;16
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
