 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220290 CORRENTE, 221120 URUCUI
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;1;-;-;-;1;1;4;-;6;3;5;2;3;26
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;4
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;4
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;1;-;-;-;1;1;4;-;4;2;4;2;1;20
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;6;1;4;3;18
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;4
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;3
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;1;4;5;7;21
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;4;5;7;19
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;3
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;3
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;3;6
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;3
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;2;1;1;4;2;3;7;3;5;19;47
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;8;11
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;1;-;2;1;2;2;1;-;1;11
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;1;-;2;1;2;2;1;-;1;11
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;5;8
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;1;1;3;5;14
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;1;-;-;-;1;1;2;1;1;-;3;-;9;19
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 074 Pneumonia";-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;-;2;-;5;11
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 075.1 Bronquiolite";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;3
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;1;-;1;-;6
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;3
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;3
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;2;5
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;4
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 093 Feto e recemnasc afet fat mat e compl grav";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 094 Transt relac duração gestação e cresc fetal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
". 099 Malf congênitas do aparelho circulatório";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
". 100 Rest de malf cong, deform e anomal Cromoss";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;2;1;1;-;1;-;3;3;1;1;1;6;20
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 102 Morte sem assistência médica";-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;1;1;1;4;10
