 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 290035 ADUSTINA, 290040 AGUA FRIA, 290050 ERICO CARDOSO, 290115 AMERICA DOURADA, 290120 ANAGE, 290130 ANDARAI, 290135 ANDORINHA, 290140 ANGICAL, 290150 ANGUERA, 290160 ANTAS, 290170 ANTONIO CARDOSO, 290180 ANTONIO GONCALVES, 290200 ARACATU, 290210 ARACI, 290250 BAIANOPOLIS, 290260 BAIXA GRANDE, 290265 BANZAE, 290280 BARRA DA ESTIVA, 290300 BARRA DO MENDES, 290323 BARRO ALTO, 290327 BARROCAS, 290350 BELO CAMPO, 290360 BIRITINGA, 290370 BOA NOVA, 290380 BOA VISTA DO TUPIM, 290395 BOM JESUS DA SERRA, 290405 BONITO, 290420 BOTUPORA, 290430 BREJOES, 290440 BREJOLANDIA, 290480 CAATIBA, 290485 CABACEIRAS DO PARAGUACU, 290510 CAEM, 290515 CAETANOS, 290530 CAFARNAUM, 290550 CALDEIRAO GRANDE, 290590 CAMPO ALEGRE DE LOURDES, 290610 CANAPOLIS, 290620 CANARANA, 290640 CANDEAL, 290660 CANDIBA, 290680 CANSANCAO, 290682 CANUDOS, 290685 CAPELA DO ALTO ALEGRE, 290689 CARAIBAS, 290710 CARINHANHA, 290740 CATOLANDIA, 290760 CENTRAL, 290870 CONDEUBA, 290880 CONTENDAS DO SINCORA, 290890 CORACAO DE MARIA, 290900 CORDEIROS, 290920 CORONEL JOAO SA, 290930 CORRENTINA, 290940 COTEGIPE, 290950 CRAVOLANDIA, 290960 CRISOPOLIS, 290970 CRISTOPOLIS, 290990 CURACA, 291000 DARIO MEIRA, 291010 DOM BASILIO, 291030 ELISIO MEDRADO, 291070 EUCLIDES DA CUNHA, 291075 FATIMA, 291085 FILADELFIA, 291125 GAVIAO, 291130 GENTIO DO OURO, 291140 GLORIA, 291165 GUAJERU, 291185 HELIOPOLIS, 291200 IBIASSUCE, 291220 IBICOARA, 291240 IBIPEBA, 291260 IBIQUERA, 291310 IBITITA, 291330 ICHU, 291340 IGAPORA, 291370 INHAMBUPE, 291380 IPECAETA, 291420 IRAJUBA, 291430 IRAMAIA, 291440 IRAQUARA, 291450 IRARA, 291500 ITAETE, 291535 ITAGUACU DA BAHIA, 291650 ITAPICURU, 291670 ITAQUARA, 291700 ITIUBA, 291720 ITUACU, 291733 IUIU, 291735 JABORANDI, 291740 JACARACI, 291770 JAGUARARI, 291810 JEREMOABO, 291830 JITAUNA, 291850 JUSSARA, 291860 JUSSIAPE, 291870 LAFAIETE COUTINHO, 291875 LAGOA REAL, 291900 LAJEDINHO, 291905 LAJEDO DO TABOCAL, 291910 LAMARAO, 291930 LENCOIS, 291940 LICINIO DE ALMEIDA, 291950 LIVRAMENTO DE NOSSA SENHORA, 291960 MACAJUBA, 291995 MAETINGA, 292000 MAIQUINIQUE, 292010 MAIRI, 292020 MALHADA, 292030 MALHADA DE PEDRAS, 292040 MANOEL VITORINO, 292080 MARCIONILIO SOUZA, 292105 MATINA, 292130 MILAGRES, 292140 MIRANGABA, 292145 MIRANTE, 292150 MONTE SANTO, 292170 MORRO DO CHAPEU, 292180 MORTUGABA, 292190 MUCUGE, 292205 MULUNGU DO MORRO, 292210 MUNDO NOVO, 292225 MUQUEM DE SAO FRANCISCO, 292265 NORDESTINA, 292270 NOVA CANAA, 292273 NOVA FATIMA, 292280 NOVA ITARANA, 292285 NOVA REDENCAO, 292290 NOVA SOURE, 292305 NOVO TRIUNFO, 292335 OUROLANDIA, 292340 PALMAS DE MONTE ALTO, 292350 PALMEIRAS, 292360 PARAMIRIM, 292370 PARATINGA, 292380 PARIPIRANGA, 292405 PE DE SERRA, 292420 PEDRO ALEXANDRE, 292450 PINDAI, 292465 PINTADAS, 292470 PIRIPA, 292490 PLANALTINO, 292500 PLANALTO, 292525 PONTO NOVO, 292540 POTIRAGUA, 292560 PRESIDENTE DUTRA, 292570 PRESIDENTE JANIO QUADROS, 292580 QUEIMADAS, 292590 QUIJINGUE, 292593 QUIXABEIRA, 292595 RAFAEL JAMBEIRO, 292610 RETIROLANDIA, 292620 RIACHAO DAS NEVES, 292640 RIACHO DE SANTANA, 292650 RIBEIRA DO AMPARO, 292665 RIBEIRAO DO LARGO, 292670 RIO DE CONTAS, 292680 RIO DO ANTONIO, 292750 SANTA BARBARA, 292760 SANTA BRIGIDA, 292820 SANTANA, 292830 SANTANOPOLIS, 292850 SANTA TERESINHA, 292890 SAO DESIDERIO, 292895 SAO DOMINGOS, 292925 SAO GABRIEL, 292937 SAO JOSE DO JACUIPE, 292970 SATIRO DIAS, 292980 SAUDE, 292990 SEABRA, 293000 SEBASTIAO LARANJEIRAS, 293015 SERRA DO RAMALHO, 293020 SENTO SE, 293030 SERRA DOURADA, 293040 SERRA PRETA, 293060 SERROLANDIA, 293075 SITIO DO MATO, 293076 SITIO DO QUINTO, 293080 SOUTO SOARES, 293090 TABOCAS DO BREJO VELHO, 293100 TANHACU, 293105 TANQUE NOVO, 293110 TANQUINHO, 293150 TEOFILANDIA, 293180 TREMEDAL, 293190 TUCANO, 293200 UAUA, 293210 UBAIRA, 293240 UIBAI, 293245 UMBURANAS, 293260 URANDI, 293305 VARZEA DA ROCA, 293310 VARZEA DO POCO, 293315 VARZEA NOVA, 293340 WAGNER, 293345 WANDERLEY
Sexo: Masc
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";1;-;25;5;2;3;1;7;11;10;21;23;41;45;62;41;78;79;89;267;-;811
". 001 Doenças infecciosas intestinais";-;-;2;2;-;-;-;1;1;-;1;1;1;3;2;-;1;2;5;18;-;40
"... 003 Diarréia e gastroenterite orig infec pres";-;-;2;2;-;-;-;1;1;-;1;1;1;2;2;-;-;2;2;15;-;32
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;3;3;-;8
". 005-006 Tuberculose";-;-;-;-;-;-;-;1;-;1;1;3;6;4;7;3;6;3;3;4;-;42
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;1;-;1;1;3;6;4;7;3;6;3;3;4;-;42
". 007-015 Outras doenças bacterianas";1;-;16;1;1;2;1;-;3;2;7;4;8;12;14;9;18;21;22;54;-;196
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"... 013 Infecção meningocócica";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;16;-;1;2;1;-;2;2;6;3;4;10;13;6;17;18;21;50;-;172
"... 015 Infecções com transmissão predom sexual";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;-;1;-;-;2;-;4;5;6;6;1;6;-;5;2;2;4;-;44
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3;-;6
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;3
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;2;-;3;5;6;4;1;4;-;2;1;1;-;-;29
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;3;10;10;14;10;13;15;8;19;-;102
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;3;8;10;14;10;13;15;8;19;-;100
". 028-030 Helmintíases";-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;5;1;-;3;-;12
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;5;1;-;3;-;11
"... 029 Cisticercose";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;7;2;-;1;-;2;7;3;7;5;9;15;19;19;30;35;49;165;-;375
"032-052 NEOPLASIAS";-;-;1;4;3;4;10;11;12;21;8;44;55;90;130;171;196;240;248;457;-;1705
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;1;3;3;13;13;12;13;10;12;11;-;91
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;11;11;9;18;19;13;15;13;11;-;120
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;1;1;-;3;1;4;7;6;12;18;18;26;23;39;-;159
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;3;1;1;3;4;6;8;2;10;14;15;17;-;84
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;1;-;-;-;-;-;1;-;1;5;4;6;12;10;10;9;15;-;74
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;1;3;-;1;5;4;3;5;7;6;3;15;-;53
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;1;-;-;3;3;4;11;7;7;7;15;-;58
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;1;-;-;-;4;1;13;15;17;30;32;26;32;-;171
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;1;1;-;8
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;3
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;1;1;3;9;15;34;54;76;176;-;369
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;1;2;4;6;6;-;24
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;1;-;4;2;3;2;3;3;2;7;7;11;13;4;9;-;71
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;6;3;1;5;4;-;23
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;2;2;4;1;-;14
". 050 Leucemia";-;-;-;1;1;2;4;-;-;2;-;1;1;1;3;1;4;6;2;9;-;38
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;1;-;1;2;1;-;1;2;3;3;4;2;1;11;-;32
". 052 Restante de neoplasias malignas";-;-;1;2;2;1;4;4;4;4;2;12;9;20;24;37;27;36;40;84;-;313
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;3;1;1;-;-;-;-;4;4;4;-;8;3;5;5;9;11;34;-;92
". 053 Anemias";-;-;2;-;1;-;-;-;-;2;4;4;-;7;3;5;5;7;8;31;-;79
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;1;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;3;3;-;13
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;4;3;-;2;2;3;7;8;11;25;23;36;49;58;80;100;113;325;-;849
". 055 Diabetes mellitus";-;-;-;-;-;1;2;2;5;6;7;16;20;25;44;49;67;85;88;234;-;651
". 056 Desnutrição";-;-;2;1;-;-;-;-;-;-;-;6;-;2;1;2;5;12;13;47;-;91
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;2;2;-;1;-;1;2;2;4;3;3;9;4;7;8;3;12;44;-;107
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;4;6;13;22;26;40;33;30;24;11;27;15;28;-;279
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;6;13;20;25;38;31;29;22;10;23;13;21;-;252
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;6;11;19;22;36;28;21;20;6;11;9;7;-;196
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;3;-;-;2;1;2;2;1;2;1;4;2;7;-;27
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;6;6;2;8;11;8;9;13;9;12;17;15;7;12;7;19;31;129;-;321
". 060 Meningite";-;-;1;-;1;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;6
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;5;16;87;-;111
". 062 Epilepsia";-;-;2;1;-;1;2;2;2;9;5;6;7;6;3;3;2;7;2;6;-;66
". 063 Restante das doenças do sistema nervoso";-;-;3;5;1;6;9;6;7;3;4;5;8;9;4;8;4;7;13;36;-;138
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";1;-;1;5;1;2;6;8;12;24;39;64;102;146;197;236;301;359;455;1276;-;3235
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;1;-;2;1;1;1;1;-;2;1;2;1;-;13
". 067 Doenças hipertensivas";-;-;-;1;-;-;-;1;-;5;6;6;15;23;39;35;49;52;94;351;-;677
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;1;1;3;8;14;22;39;68;75;99;119;121;122;296;-;988
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;1;1;3;8;13;22;38;65;69;95;106;112;106;276;-;915
". 069 Outras doenças cardíacas";1;-;1;4;1;1;4;4;4;4;6;13;19;23;29;40;48;59;83;208;-;552
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;1;1;3;6;7;18;26;29;41;56;75;110;142;372;-;887
". 071 Aterosclerose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;1;-;1;1;1;4;4;2;2;12;6;8;16;12;47;-;117
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;1;8;15;1;5;5;5;10;12;19;22;30;34;51;68;86;112;166;647;-;1297
". 073 Influenza (gripe)";-;-;-;1;-;-;-;-;1;-;-;1;1;2;1;1;1;-;2;12;-;23
". 074 Pneumonia";-;-;3;12;-;2;2;2;4;5;14;10;8;11;22;20;25;26;58;277;-;501
". 075 Out infec agudas das vias aéreas inferiores";-;-;2;2;-;-;-;-;-;-;-;-;1;1;1;2;3;1;3;12;-;28
"... 075.1 Bronquiolite";-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;1;1;-;-;1;-;1;2;5;10;11;26;34;58;67;220;-;437
"... 076.1 Asma";-;-;-;-;1;1;-;-;1;-;-;1;2;1;1;-;1;2;2;14;-;27
". 077 Restante  doenças do aparelho respiratório";-;1;3;-;-;2;3;3;4;7;4;9;15;10;16;19;23;27;36;126;-;308
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;4;3;-;1;1;3;15;24;42;57;60;74;66;69;61;47;64;152;-;743
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;1;1;2;1;3;-;5;1;3;5;9;-;31
". 079 Peritonite";-;-;-;1;-;-;-;-;-;1;-;-;-;2;1;1;1;2;-;-;-;9
". 080 Doenças do fígado";-;-;2;-;-;1;-;1;11;18;33;39;41;45;31;40;31;16;23;31;-;363
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;1;5;13;22;30;23;32;17;18;11;6;7;9;-;194
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;1;-;-;3;3;8;8;13;10;8;11;7;4;6;12;-;94
"... 080.3 Outras doenças do fígado";-;-;2;-;-;-;-;-;3;2;3;1;5;3;6;11;13;6;10;10;-;75
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;2;3;-;8
". 082 Rest doenças do aparelho digestivo";-;-;2;2;-;-;1;2;4;4;7;16;18;24;34;23;26;26;34;109;-;332
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;1;-;-;-;-;-;-;-;2;3;2;1;2;3;6;7;8;18;-;53
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;1;-;-;-;-;-;1;-;1;2;1;2;3;-;1;2;2;16;-;32
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;1;-;-;1;1;2;2;1;6;6;1;11;21;18;24;40;56;140;-;331
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;2;3;9;8;11;-;38
". 086 Insuficiência renal";-;-;1;-;-;-;1;-;1;1;4;4;-;6;13;9;14;23;31;60;-;168
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;1;-;2;1;-;1;1;1;3;7;7;7;8;17;69;-;125
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";130;25;10;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;166
". 093 Feto e recemnasc afet fat mat e compl grav";18;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
". 094 Transt relac duração gestação e cresc fetal";26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
". 095 Traumatismo de parto";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";59;6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69
". 097 Rest afec originadas no período perinatal";26;16;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;49
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";28;9;26;7;5;2;2;1;1;1;3;1;-;3;-;1;-;-;1;2;-;93
". 098 Malformações congênitas do sistema nervoso";3;1;5;4;3;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;20
". 099 Malf congênitas do aparelho circulatório";7;5;12;2;1;-;1;-;1;-;2;1;-;-;-;-;-;-;1;2;-;35
". 100 Rest de malf cong, deform e anomal Cromoss";18;3;9;1;1;-;-;-;-;1;1;-;-;3;-;1;-;-;-;-;-;38
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";2;-;9;8;2;5;8;28;18;31;53;46;72;80;104;103;138;132;124;555;2;1520
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;86;-;89
". 102 Morte sem assistência médica";1;-;1;-;-;-;2;4;2;3;7;8;9;7;9;10;16;13;20;80;-;192
". 103 Rest sint, sin e ach anorm clín e laborat";1;-;8;8;2;5;6;24;16;28;46;38;63;73;95;93;122;118;102;389;2;1239
