 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 230010 ABAIARA, 230020 ACARAU, 230030 ACOPIARA, 230040 AIUABA, 230050 ALCANTARAS, 230060 ALTANEIRA, 230070 ALTO SANTO, 230075 AMONTADA, 230080 ANTONINA DO NORTE, 230090 APUIARES, 230120 ARACOIABA, 230125 ARARENDA, 230130 ARARIPE, 230140 ARATUBA, 230150 ARNEIROZ, 230160 ASSARE, 230170 AURORA, 230180 BAIXIO, 230185 BANABUIU, 230195 BARREIRA, 230200 BARRO, 230205 BARROQUINHA, 230220 BEBERIBE, 230230 BELA CRUZ, 230240 BOA VIAGEM, 230290 CAPISTRANO, 230300 CARIDADE, 230310 CARIRE, 230320 CARIRIACU, 230330 CARIUS, 230340 CARNAUBAL, 230360 CATARINA, 230365 CATUNDA, 230390 CHAVAL, 230393 CHORO, 230395 CHOROZINHO, 230400 COREAU, 230423 CROATA, 230425 CRUZ, 230426 DEPUTADO IRAPUAN PINHEIRO, 230427 ERERE, 230430 FARIAS BRITO, 230445 FORTIM, 230450 FRECHEIRINHA, 230460 GENERAL SAMPAIO, 230465 GRACA, 230470 GRANJA, 230480 GRANJEIRO, 230490 GROAIRAS, 230500 GUARACIABA DO NORTE, 230510 GUARAMIRANGA, 230520 HIDROLANDIA, 230526 IBARETAMA, 230530 IBIAPINA, 230533 IBICUITINGA, 230535 ICAPUI, 230560 INDEPENDENCIA, 230565 IPAPORANGA, 230570 IPAUMIRIM, 230590 IPUEIRAS, 230600 IRACEMA, 230610 IRAUCUBA, 230620 ITAICABA, 230650 ITAPIUNA, 230655 ITAREMA, 230660 ITATIRA, 230670 JAGUARETAMA, 230680 JAGUARIBARA, 230700 JAGUARUANA, 230710 JARDIM, 230720 JATI, 230725 JIJOCA DE JERICOACOARA, 230740 JUCAS, 230750 LAVRAS DA MANGABEIRA, 230763 MADALENA, 230780 MARCO, 230800 MASSAPE, 230810 MAURITI, 230820 MERUOCA, 230830 MILAGRES, 230835 MILHA, 230837 MIRAIMA, 230840 MISSAO VELHA, 230850 MOMBACA, 230860 MONSENHOR TABOSA, 230880 MORAUJO, 230890 MORRINHOS, 230900 MUCAMBO, 230910 MULUNGU, 230920 NOVA OLINDA, 230940 NOVO ORIENTE, 230945 OCARA, 230980 PACOTI, 230990 PACUJA, 231000 PALHANO, 231010 PALMACIA, 231030 PARAMBU, 231040 PARAMOTI, 231060 PENAFORTE, 231080 PEREIRO, 231090 PIQUET CARNEIRO, 231095 PIRES FERREIRA, 231100 PORANGA, 231110 PORTEIRAS, 231120 POTENGI, 231123 POTIRETAMA, 231126 QUITERIANOPOLIS, 231135 QUIXELO, 231170 RERIUTABA, 231190 SABOEIRO, 231195 SALITRE, 231200 SANTANA DO ACARAU, 231210 SANTANA DO CARIRI, 231220 SANTA QUITERIA, 231230 SAO BENEDITO, 231240 SAO GONCALO DO AMARANTE, 231250 SAO JOAO DO JAGUARIBE, 231260 SAO LUIS DO CURU, 231270 SENADOR POMPEU, 231280 SENADOR SA, 231300 SOLONOPOLE, 231320 TAMBORIL, 231325 TARRAFAS, 231335 TEJUCUOCA, 231350 TRAIRI, 231355 TURURU, 231360 UBAJARA, 231370 UMARI, 231375 UMIRIM, 231390 URUOCA, 231410 VICOSA DO CEARA
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;13;8;3;3;4;12;23;23;54;67;83;89;172;183;199;245;243;653;2077
". 001 Doenças infecciosas intestinais";-;-;2;1;-;-;-;2;-;1;-;-;3;-;2;-;-;8;6;22;47
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;1;-;-;-;2;-;1;-;-;2;-;2;-;-;5;3;16;32
"... 004 Outras doenças infecciosas intestinais";-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;3;6;15
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;1;2;7
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;1;2;7
". 007-015 Outras doenças bacterianas";-;-;2;2;-;-;-;1;1;-;4;3;7;5;6;10;16;19;36;118;230
"... 014 Septicemia";-;-;2;1;-;-;-;1;1;-;4;2;6;4;6;8;16;15;34;100;200
". 016-023 Doenças virais";-;-;1;-;1;1;-;1;3;2;2;5;5;1;3;3;1;2;2;4;37
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;5
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;-;-;5
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;1;-;-;1;3;2;2;5;5;1;2;-;-;-;-;-;22
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;5
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;4
". 028-030 Helmintíases";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;3
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 030 Restante de helmintíases";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;8;4;2;2;4;8;18;20;48;59;66;83;161;168;180;214;198;505;1748
"032-052 NEOPLASIAS";1;-;-;3;4;3;3;6;9;21;38;52;59;102;128;118;154;154;153;306;1314
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;-;1;4;1;2;1;4;14;28
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;5;4;3;3;9;30
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;2;1;4;2;5;3;6;6;9;11;21;70
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;1;-;2;1;4;3;5;3;8;7;7;28;69
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;2;2;1;1;5;5;6;8;5;10;10;55
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;1;1;3;3;5;6;6;8;15;48
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;5;2;3;13
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;2;-;2;2;4;7;16;14;24;22;34;24;151
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;-;-;4;9
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;8;15;18;20;32;36;19;16;18;9;36;227
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;1;-;5;2;6;8;10;12;6;13;13;5;11;92
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;1;-;-;2;1;1;4;1;7;7;2;4;30
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;2;1;1;1;3;-;1;6;4;8;5;4;7;43
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;2;1;7;14
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;1;1;1;1;-;1;2;2;8;5;8;8;7;9;7;61
". 048 Linfoma não-Hodgkin";-;-;-;-;1;-;-;1;-;1;1;-;-;3;-;-;2;3;1;2;15
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;2;1;1;3;12
". 050 Leucemia";-;-;-;3;1;1;2;-;1;1;1;1;1;-;1;1;4;1;4;6;29
". 051 Neoplasias in situ, benig, comport incert";1;-;-;-;2;-;-;-;2;-;-;1;3;2;5;7;6;5;3;10;47
". 052 Restante de neoplasias malignas";-;-;-;-;-;1;-;1;-;1;9;8;9;17;20;27;24;34;35;85;271
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;1;-;-;-;-;2;-;2;2;5;3;2;1;1;2;8;19;48
". 053 Anemias";-;-;-;-;-;-;-;-;2;-;2;2;3;2;2;1;1;2;4;15;36
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;4;4;12
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;1;-;-;3;2;3;5;13;9;15;31;43;50;72;94;381;722
". 055 Diabetes mellitus";-;-;-;-;-;-;-;1;1;2;3;10;7;9;28;39;40;59;79;287;565
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;2;8;46;60
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;1;-;-;2;1;1;2;3;2;4;3;4;8;11;7;48;97
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;1;-;-;1;1;-;3;-;7;5;5;7;3;6;25;64
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;1;-;1;-;2;4;2;4;2;1;11;29
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;1;1;-;1;-;1;3;1;2;-;-;1;11
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;1;-;-;-;-;-;2;-;5;1;3;3;1;5;14;35
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;2;3;4;3;3;4;2;2;2;4;4;8;6;5;11;14;29;200;306
". 060 Meningite";-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;5;22;146;177
