 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 230010 ABAIARA, 230020 ACARAU, 230030 ACOPIARA, 230040 AIUABA, 230050 ALCANTARAS, 230060 ALTANEIRA, 230070 ALTO SANTO, 230075 AMONTADA, 230080 ANTONINA DO NORTE, 230090 APUIARES, 230120 ARACOIABA, 230125 ARARENDA, 230130 ARARIPE, 230140 ARATUBA, 230150 ARNEIROZ, 230160 ASSARE, 230170 AURORA, 230180 BAIXIO, 230185 BANABUIU, 230195 BARREIRA, 230200 BARRO, 230205 BARROQUINHA, 230220 BEBERIBE, 230230 BELA CRUZ, 230240 BOA VIAGEM, 230290 CAPISTRANO, 230300 CARIDADE, 230310 CARIRE, 230320 CARIRIACU, 230330 CARIUS, 230340 CARNAUBAL, 230360 CATARINA, 230365 CATUNDA, 230390 CHAVAL, 230393 CHORO, 230395 CHOROZINHO, 230400 COREAU, 230423 CROATA, 230425 CRUZ, 230426 DEPUTADO IRAPUAN PINHEIRO, 230427 ERERE, 230430 FARIAS BRITO, 230445 FORTIM, 230450 FRECHEIRINHA, 230460 GENERAL SAMPAIO, 230465 GRACA, 230470 GRANJA, 230480 GRANJEIRO, 230490 GROAIRAS, 230500 GUARACIABA DO NORTE, 230510 GUARAMIRANGA, 230520 HIDROLANDIA, 230526 IBARETAMA, 230530 IBIAPINA, 230533 IBICUITINGA, 230535 ICAPUI, 230560 INDEPENDENCIA, 230565 IPAPORANGA, 230570 IPAUMIRIM, 230590 IPUEIRAS, 230600 IRACEMA, 230610 IRAUCUBA, 230620 ITAICABA, 230650 ITAPIUNA, 230655 ITAREMA, 230660 ITATIRA, 230670 JAGUARETAMA, 230680 JAGUARIBARA, 230700 JAGUARUANA, 230710 JARDIM, 230720 JATI, 230725 JIJOCA DE JERICOACOARA, 230740 JUCAS, 230750 LAVRAS DA MANGABEIRA, 230763 MADALENA, 230780 MARCO, 230800 MASSAPE, 230810 MAURITI, 230820 MERUOCA, 230830 MILAGRES, 230835 MILHA, 230837 MIRAIMA, 230840 MISSAO VELHA, 230850 MOMBACA, 230860 MONSENHOR TABOSA, 230880 MORAUJO, 230890 MORRINHOS, 230900 MUCAMBO, 230910 MULUNGU, 230920 NOVA OLINDA, 230940 NOVO ORIENTE, 230945 OCARA, 230980 PACOTI, 230990 PACUJA, 231000 PALHANO, 231010 PALMACIA, 231030 PARAMBU, 231040 PARAMOTI, 231060 PENAFORTE, 231080 PEREIRO, 231090 PIQUET CARNEIRO, 231095 PIRES FERREIRA, 231100 PORANGA, 231110 PORTEIRAS, 231120 POTENGI, 231123 POTIRETAMA, 231126 QUITERIANOPOLIS, 231135 QUIXELO, 231170 RERIUTABA, 231190 SABOEIRO, 231195 SALITRE, 231200 SANTANA DO ACARAU, 231210 SANTANA DO CARIRI, 231220 SANTA QUITERIA, 231230 SAO BENEDITO, 231240 SAO GONCALO DO AMARANTE, 231250 SAO JOAO DO JAGUARIBE, 231260 SAO LUIS DO CURU, 231270 SENADOR POMPEU, 231280 SENADOR SA, 231300 SOLONOPOLE, 231320 TAMBORIL, 231325 TARRAFAS, 231335 TEJUCUOCA, 231350 TRAIRI, 231355 TURURU, 231360 UBAJARA, 231370 UMARI, 231375 UMIRIM, 231390 URUOCA, 231410 VICOSA DO CEARA
Sexo: Masc
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";1;1;16;-;2;-;-;6;11;10;16;15;11;12;13;16;23;22;34;39;119;-;367
". 001 Doenças infecciosas intestinais";-;1;7;-;1;-;-;-;-;1;-;1;2;2;3;-;2;3;2;4;28;-;57
"... 003 Diarréia e gastroenterite orig infec pres";-;1;5;-;-;-;-;-;-;-;-;1;-;1;3;-;1;2;1;4;19;-;38
"... 004 Outras doenças infecciosas intestinais";-;-;2;-;1;-;-;-;-;1;-;-;2;1;-;-;1;1;1;-;9;-;19
". 005-006 Tuberculose";-;-;-;-;1;-;-;2;-;-;1;3;1;-;-;5;3;3;1;1;4;-;25
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;2;-;-;1;3;1;-;-;4;3;2;1;1;4;-;22
"... 006 Outras tuberculoses";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3
". 007-015 Outras doenças bacterianas";1;-;3;-;-;-;-;1;-;2;5;3;6;5;4;8;12;11;23;28;75;-;187
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;2
"... 013 Infecção meningocócica";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;3;-;-;-;-;1;-;1;4;2;6;4;4;5;10;11;19;25;67;-;162
"... 015 Infecções com transmissão predom sexual";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;2;-;-;-;-;-;8;5;8;7;2;3;5;1;4;3;1;2;5;-;56
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;3
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;2;3;-;10
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;3
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;5;5;7;6;1;3;5;1;1;1;-;-;-;-;35
". 024-027 Doenças transmitidas por protozoários";-;-;1;-;-;-;-;1;2;-;-;-;-;-;-;2;2;1;3;3;4;-;19
"... 025 Leishmaniose";-;-;1;-;-;-;-;1;2;-;-;-;-;-;-;-;1;-;1;1;1;-;8
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;2;3;-;11
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;-;-;4
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;3
"... 030 Restante de helmintíases";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;3;-;-;-;-;2;1;2;1;-;-;2;1;-;-;1;2;1;3;-;19
"032-052 NEOPLASIAS";-;-;-;-;5;4;5;9;8;8;12;20;20;53;78;108;110;176;160;183;436;-;1395
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;3;5;9;12;4;6;5;4;9;-;58
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;1;2;2;6;7;19;12;15;5;11;18;-;98
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;3;2;7;8;12;14;32;20;21;45;-;164
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;4;4;10;7;5;9;-;42
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;2;-;-;2;1;2;4;2;5;1;8;11;5;17;-;60
