 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320210 ECOPORANGA, 320270 ITAGUACU, 320290 ITARANA, 320330 MANTENOPOLIS
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;1;1;-;-;1;2;2;5;6;9;27
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;1;1;-;-;1;1;2;5;6;7;24
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;1;1;1;3;1;4;1;1;3;12;28
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3;5
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;4
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;6
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;1;-;1;1;4;-;2;3;9;21
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;1;-;1;1;3;-;2;3;8;19
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;5;8
". 060 Meningite";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;5
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;1;1;1;1;-;2;4;5;5;3;37;60
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;9;12
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;1;1;-;-;-;1;2;3;-;3;15;26
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;1;1;-;-;-;1;2;3;-;3;14;25
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3;5
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;10;12
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;1;-;1;-;-;3;-;-;5
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;11;16
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5;6
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;4;8
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;3;6
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;3
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;1;-;-;-;-;-;-;1;2;2;2;2;4;14
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;4
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;2;9
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 093 Feto e recemnasc afet fat mat e compl grav";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 097 Rest afec originadas no período perinatal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 099 Malf congênitas do aparelho circulatório";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;3
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;3
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";1;1;-;1;2;2;-;-;1;-;2;-;1;-;-;-;3;14
". 104 Acidentes de transporte";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
