 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320210 ECOPORANGA, 320270 ITAGUACU, 320290 ITARANA, 320330 MANTENOPOLIS
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"1 a 4 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;1;1;3;-;2;1;2;10;20
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;1;-;-;2;1;1;10;15
"032-052 NEOPLASIAS";-;-;-;-;1;-;1;-;2;2;2;4;4;5;10;31
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;3
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;4
". 041 Neoplasia maligna da mama";-;-;-;-;1;-;-;-;2;1;-;1;-;-;1;6
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;5
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;2;1;1;1;-;1;1;1;2;8;18
". 055 Diabetes mellitus";-;-;-;-;-;2;1;1;1;-;1;1;1;2;7;17
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2
". 059 Rest transtornos mentais e comportamentais";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";1;-;-;-;-;-;-;-;-;1;-;2;-;-;9;13
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7
". 063 Restante das doenças do sistema nervoso";1;-;-;-;-;-;-;-;-;1;-;2;-;-;2;6
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;2;-;1;-;-;5;6;6;9;32;61
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;2;1;8;11
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;3;4;1;4;10;22
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;3;4;-;2;9;18
". 069 Outras doenças cardíacas";-;-;-;-;-;2;-;-;-;-;-;1;-;2;5;10
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;1;-;-;2;1;2;2;6;14
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";1;-;-;-;-;1;-;-;-;-;1;1;-;4;23;31
". 074 Pneumonia";1;-;-;-;-;1;-;-;-;-;-;-;-;3;11;16
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;1;-;1;8;10
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;5
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;-;1;-;3;1;1;4;10
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;1;-;2;-;1;1;5
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;3
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;4
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;1;-;-;-;1;-;1;-;2;-;2;9;16
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 086 Insuficiência renal";-;-;-;-;-;-;-;1;-;-;-;2;-;1;2;6
". 087 Rest doenças do aparelho geniturinário";-;-;-;1;-;-;-;-;-;-;-;-;-;1;7;9
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
". 090 Causas obstétricas indiretas";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 100 Rest de malf cong, deform e anomal Cromoss";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;-;2;2;-;1;-;3;-;-;-;1;5;15
". 104 Acidentes de transporte";-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;4
". 105 Quedas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
". 110 Agressões";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
". 113 Todas as outras causas externas";-;-;-;-;1;1;-;-;-;-;-;-;-;-;3;5
"Total";2;1;2;2;3;7;2;5;5;11;9;21;13;26;115;224
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
