 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320210 ECOPORANGA, 320270 ITAGUACU, 320290 ITARANA, 320330 MANTENOPOLIS
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;-;-;1;1;-;4;-;-;-;1;3;10
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;4
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;3
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;3
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;-;-;1;3;4;5;12;8;10;21;64
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;4
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;2;-;3;-;2;2;9
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;1;5
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;3
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;3
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;4
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;4;9
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;5;9
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 050 Leucemia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;1;1;5;12
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;2;-;-;-;1;2;3;-;2;2;12
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;1;-;-;-;1;2;3;-;2;-;9
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;3;1;12;20
". 060 Meningite";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;10;13
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;2;5
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;1;-;-;1;-;3;-;3;9;8;6;7;12;38;88
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;1;-;-;-;-;1;-;3;3;2;10;20
