 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 320210 ECOPORANGA, 320270 ITAGUACU, 320290 ITARANA, 320330 MANTENOPOLIS
Sexo: Masc
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;-;1;1;1;-;-;2;1;1;6;13
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;1;5;10
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;-;9;4;5;7;5;8;3;5;46
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;3
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;4
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;1;-;5
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;3
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;3
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;-;-;6
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;3;8
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;3
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;1;-;6
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;-;1;-;2;-;2;1;2;4;12
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;1;-;2;-;1;1;2;1;8
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;1;4
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;1;4
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;3
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;10;13
". 060 Meningite";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;8;9
". 062 Epilepsia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;1;-;-;-;1;2;2;5;3;9;12;4;9;29;77
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;1;-;-;2;1;1;1;1;4;11
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;2;-;4;9;3;6;6;30
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;2;-;3;7;3;6;5;26
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;1;1;1;1;-;2;-;-;-;7;13
". 070 Doenças cerebrovasculares";-;-;-;1;-;-;-;-;-;-;2;1;1;2;-;1;10;18
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;2;5
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;1;1;-;-;4;1;1;3;5;2;2;13;33
". 074 Pneumonia";-;-;-;-;-;-;1;-;-;2;1;-;1;2;1;1;8;17
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;2;-;1;2;3;1;1;2;12
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;4
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;1;-;-;-;1;2;1;-;1;1;-;8;15
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
