 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 210015 AGUA DOCE DO MARANHAO, 210090 ARAIOSES, 210210 BREJO, 210220 BURITI, 210630 MAGALHAES DE ALMEIDA, 210660 MATOES, 210667 MILAGRES DO MARANHAO, 210780 PARNARAMA, 211010 SANTA QUITERIA DO MARANHAO, 211023 SANTANA DO MARANHAO, 211060 SAO BERNARDO, 211090 SAO FRANCISCO DO MARANHAO, 211250 TUTOIA
Sexo: Fem
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;4;1;-;-;-;-;1;-;1;1;-;-;2;3;-;1;2;7;23
". 001 Doenças infecciosas intestinais";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;4
"... 003 Diarréia e gastroenterite orig infec pres";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;4
". 007-015 Outras doenças bacterianas";-;3;-;-;-;-;-;-;-;-;1;-;-;2;2;-;1;2;5;16
"... 011 Difteria";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;2;-;-;-;-;-;-;-;-;1;-;-;2;2;-;1;1;5;14
". 016-023 Doenças virais";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2
". 024-027 Doenças transmitidas por protozoários";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 025 Leishmaniose";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;2;-;-;2;-;1;4;2;1;3;9;10;6;5;13;4;12;74
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;3
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;3
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;3
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;3;1;2;8
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;3
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;1;5
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;2;1;-;1;2;3;1;2;-;-;-;12
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
". 048 Linfoma não-Hodgkin";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
". 050 Leucemia";-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;3
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;1;-;-;3;4;2;1;4;2;4;21
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;4
". 053 Anemias";-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;3
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;2;-;-;-;-;-;-;-;1;-;1;4;3;6;8;18;15;24;82
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;1;-;1;4;3;6;7;15;12;23;72
". 056 Desnutrição";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;-;6
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;1;1;5
". 060 Meningite";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 062 Epilepsia";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;1;2;2;4;6;8;9;14;14;26;33;102;221
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;2;4;10;19;40
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;1;1;1;1;3;2;3;7;4;7;6;32;68
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;1;-;1;1;3;2;3;7;4;7;6;30;65
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;1;1;3;-;-;1;4;4;17;31
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;1;1;2;2;4;5;7;11;12;32;78
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;4
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;4;2;1;-;-;-;-;-;-;1;-;1;2;7;7;4;7;31;67
". 074 Pneumonia";-;3;-;1;-;-;-;-;-;-;1;-;-;-;3;5;1;6;24;44
". 075 Out infec agudas das vias aéreas inferiores";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 075.1 Bronquiolite";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;1;1;2;8
". 077 Restante  doenças do aparelho respiratório";-;1;1;-;-;-;-;-;-;-;-;-;1;-;2;2;2;-;5;14
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;1;-;2;2;2;1;1;3;2;3;5;22
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;-;2;2;1;-;-;1;1;-;2;10
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;1;4
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;1;-;1;6
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;3;1;9
