 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 210015 AGUA DOCE DO MARANHAO, 210090 ARAIOSES, 210210 BREJO, 210220 BURITI, 210630 MAGALHAES DE ALMEIDA, 210660 MATOES, 210667 MILAGRES DO MARANHAO, 210780 PARNARAMA, 211010 SANTA QUITERIA DO MARANHAO, 211023 SANTANA DO MARANHAO, 211060 SAO BERNARDO, 211090 SAO FRANCISCO DO MARANHAO, 211250 TUTOIA
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;5;-;-;1;-;-;2;1;-;2;1;1;1;1;3;1;4;8;-;31
". 001 Doenças infecciosas intestinais";-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;4;-;9
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;5
"... 004 Outras doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;4
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;3
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;3
". 007-015 Outras doenças bacterianas";-;-;3;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;4;3;-;14
"... 014 Septicemia";-;-;3;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;2;2;-;11
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;3
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 027 Toxoplasmose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";1;-;-;-;2;-;1;1;1;1;1;1;3;4;1;5;12;10;13;14;-;71
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;4
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;3
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;-;-;-;-;5
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;4
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;2;3;1;2;-;11
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;5;5;-;15
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
". 050 Leucemia";-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;4
". 052 Restante de neoplasias malignas";1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;2;2;3;2;-;13
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;2;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;3;-;-;8
". 053 Anemias";-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;3;-;-;7
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;1;1;-;1;1;-;-;-;-;1;-;2;2;9;4;7;9;10;19;-;67
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;1;-;2;2;9;4;7;9;9;17;-;60
". 056 Desnutrição";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3
". 057 Rest doenças endócr, nutricion e metabólicas";-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;-;4
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;3
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;1;2;1;-;2;1;1;-;1;-;1;-;-;2;1;1;6;-;21
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;7
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;1;1;2;1;-;2;1;1;-;1;-;1;-;-;2;-;-;-;-;13
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";1;-;-;-;-;1;2;-;-;7;6;3;12;13;15;13;37;28;53;103;-;294
". 067 Doenças hipertensivas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;9;3;6;23;-;45
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;3;4;2;3;6;7;5;16;9;17;23;-;95
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;3;4;2;3;6;7;5;16;7;16;23;-;92
". 069 Outras doenças cardíacas";1;-;-;-;-;-;1;-;-;2;-;1;1;4;2;1;4;3;4;21;-;45
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;2;2;-;8;3;3;5;7;13;23;34;-;100
". 071 Aterosclerose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;-;3;1;-;8
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;2;-;-;1;-;1;-;1;1;1;2;1;7;7;9;11;31;1;76
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 074 Pneumonia";-;-;-;1;-;-;-;-;1;-;1;1;1;1;1;3;3;5;4;19;1;42
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 075.1 Bronquiolite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;3;3;4;-;15
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 077 Restante  doenças do aparelho respiratório";-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;2;-;1;4;7;-;17
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;1;-;-;5;3;3;1;3;5;5;3;7;-;36
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;3
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;-;-;5;2;-;-;3;3;-;-;1;-;15
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;1;-;-;2;2;-;-;3;2;-;-;-;-;10
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;2;4;2;6;-;18
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
