 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310050 ACUCENA, 310060 AGUA BOA, 310100 AGUAS VERMELHAS, 310180 ALPERCATA, 310220 ALVARENGA, 310270 CACHOEIRA DE PAJEU, 310450 ARINOS, 310470 ATALEIA, 310520 BANDEIRA, 310660 BERTOPOLIS, 310665 BERIZAL, 310820 BONFINOPOLIS DE MINAS, 310850 BOTUMIRIM, 310880 BRAUNAS, 311080 CAMPANARIO, 311115 CAMPO AZUL, 311205 CANTAGALO, 311265 CAPITAO ANDRADE, 311270 CAPITAO ENEAS, 311300 CARAI, 311380 CARMESIA, 311545 CATUJI, 311547 CATUTI, 311570 CENTRAL DE MINAS, 311610 CHAPADA DO NORTE, 311615 CHAPADA GAUCHA, 311880 CORACAO DE JESUS, 311920 COROACI, 312015 CRISOLITA, 312030 CRISTALIA, 312083 CUPARAQUE, 312087 CURRAL DE DENTRO, 312210 DIVINO DAS LARANJEIRAS, 312220 DIVINOLANDIA DE MINAS, 312245 DIVISOPOLIS, 312247 DOM BOSCO, 312310 DORES DE GUANHAES, 312370 ENGENHEIRO CALDAS, 312580 FERNANDES TOURINHO, 312620 FORMOSO, 312675 FRANCISCOPOLIS, 312680 FREI GASPAR, 312705 FRONTEIRA DOS VALES, 312707 FRUTA DE LEITE, 312730 GALILEIA, 312735 GLAUCILANDIA, 312737 GOIABEIRA, 312750 GONZAGA, 312780 GRAO MOGOL, 312825 GUARACIAMA, 312960 IBIAI, 312965 IBIRACATU, 313005 ICARAI DE MINAS, 313090 INHAPIM, 313180 ITABIRINHA, 313200 ITACAMBIRA, 313230 ITAIPE, 313320 ITANHOMI, 313400 ITINGA, 313410 ITUETA, 313470 JACINTO, 313505 JAIBA, 313507 JAMPRUCA, 313535 JAPONVAR, 313545 JENIPAPO DE MINAS, 313560 JEQUITAI, 313600 JOAIMA, 313650 JORDANIA, 313655 JOSE RAYDAN, 313680 JURAMENTO, 313700 LADAINHA, 313730 LAGOA DOS PATOS, 313810 LASSANCE, 313835 LEME DO PRADO, 313865 LONTRA, 313868 LUISLANDIA, 313925 MAMONAS, 314010 MARILAC, 314085 MATIAS CARDOSO, 314100 MATO VERDE, 314150 MENDES PIMENTEL, 314180 MINAS NOVAS, 314200 MIRABELA, 314315 MONTE FORMOSO, 314345 MONTEZUMA, 314400 MUTUM, 314420 NACIP RAYDAN, 314465 NINHEIRA, 314467 NOVA BELEM, 314490 NOVA MODICA, 314530 NOVO CRUZEIRO, 314535 NOVO ORIENTE DE MINAS, 314620 OURO VERDE DE MINAS, 314625 PADRE CARVALHO, 314655 PAI PEDRO, 314795 PATIS, 314850 PAVAO, 314860 PECANHA, 314915 PEDRAS DE MARIA DA CRUZ, 314995 PERIQUITO, 315057 PINTOPOLIS, 315213 PONTO CHIQUE, 315217 PONTO DOS VOLANTES, 315220 PORTEIRINHA, 315240 POTE, 315445 RIACHINHO, 315450 RIACHO DOS MACHADOS, 315680 SABINOPOLIS, 315737 SANTA CRUZ DE SALINAS, 315750 SANTA EFIGENIA DE MINAS, 315760 SANTA FE DE MINAS, 315765 SANTA HELENA DE MINAS, 315810 SANTA MARIA DO SALTO, 315820 SANTA MARIA DO SUACUI, 315950 SANTA RITA DO ITUETO, 316045 SANTO ANTONIO DO RETIRO, 316095 SAO DOMINGOS DAS DORES, 316105 SAO FELIX DE MINAS, 316160 SAO GERALDO DA PIEDADE, 316165 SAO GERALDO DO BAIXIO, 316225 SAO JOAO DA LAGOA, 316240 SAO JOAO DA PONTE, 316257 SAO JOAO DO MANTENINHA, 316265 SAO JOAO DO PACUI, 316270 SAO JOAO DO PARAISO, 316280 SAO JOAO EVANGELISTA, 316300 SAO JOSE DA SAFIRA, 316330 SAO JOSE DO DIVINO, 316350 SAO JOSE DO JACURI, 316410 SAO PEDRO DO SUACUI, 316420 SAO ROMAO, 316447 SAO SEBASTIAO DO ANTA, 316450 SAO SEBASTIAO DO MARANHAO, 316550 SARDOA, 316555 SETUBINHA, 316610 SENHORA DO PORTO, 316695 SERRANOPOLIS DE MINAS, 316770 SOBRALIA, 316805 TAPARUBA, 316840 TARUMIRIM, 316950 TUMIRITINGA, 317000 UBAI, 317005 UBAPORANGA, 317030 UMBURATIBA, 317047 URUANA DE MINAS, 317052 URUCUIA, 317090 VARZELANDIA, 317103 VERDELANDIA, 317150 MATHIAS LOBATO, 317180 VIRGINOPOLIS, 317190 VIRGOLANDIA
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";1;-;5;1;1;-;1;1;2;4;10;12;19;23;24;35;54;62;59;180;494
". 001 Doenças infecciosas intestinais";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;6;15
"... 003 Diarréia e gastroenterite orig infec pres";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5;10
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;5
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;3
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
". 007-015 Outras doenças bacterianas";-;-;1;-;-;-;-;-;1;-;-;1;1;1;2;4;7;9;11;41;79
"... 014 Septicemia";-;-;1;-;-;-;-;-;1;-;-;1;1;1;2;4;6;7;10;38;72
"... 015 Infecções com transmissão predom sexual";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;2;1;3;3;1;-;1;-;-;-;11
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;3
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;-;1;1;2;-;1;-;-;-;-;-;5
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;2;-;4;2;4;5;7;9;11;11;26;81
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;2;-;4;2;4;5;7;9;11;10;26;80
". 028-030 Helmintíases";-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;3;1;2;-;1;11
"... 028 Esquistossomose";-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;3;1;2;-;1;11
". 031 Restante algumas doenç infec e parasitárias";1;-;-;1;1;-;-;1;1;2;8;6;11;14;14;21;34;39;35;105;294
"032-052 NEOPLASIAS";-;-;-;1;-;1;3;-;3;10;17;21;25;36;45;52;72;55;63;142;546
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;2;4;12
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;1;-;4;3;5;7;1;2;6;29
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;2;1;1;2;1;3;2;5;3;7;27
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;3;1;3;2;4;1;7;3;3;13;40
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;1;-;-;-;-;-;-;1;-;-;1;2;3;2;1;5;10;26
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;2;4;2;6;4;23
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;1;2;2;2;3;6;12;3;4;10;45
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;2;-;10;10;4;8;3;7;6;3;13;66
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;1;-;1;1;2;1;2;2;3;2;3;3;1;8;30
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;4;1;3;1;2;16
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;2;1;3;1;2;12
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;5
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;4;1;1;2;13
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;-;-;1;1;6
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;2;5;3;14
". 050 Leucemia";-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;1;1;4;10
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;-;4;10
