 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 280010 AMPARO DE SAO FRANCISCO, 280110 CANHOBA, 280140 CARIRA, 280190 CUMBE, 280220 FEIRA NOVA, 280230 FREI PAULO, 280240 GARARU, 280260 GRACHO CARDOSO, 280310 ITABI, 280370 MACAMBIRA, 280420 MONTE ALEGRE DE SERGIPE, 280445 NOSSA SENHORA APARECIDA, 280470 NOSSA SENHORA DE LOURDES, 280500 PEDRA MOLE, 280520 PINHAO, 280540 POCO REDONDO, 280560 PORTO DA FOLHA, 280700 SAO MIGUEL DO ALEIXO, 280730 TELHA
Sexo: Fem
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;2;-;1;-;-;-;-;-;-;-;2;-;-;2;1;1;7;16
". 001 Doenças infecciosas intestinais";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;6
"... 003 Diarréia e gastroenterite orig infec pres";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;6
". 007-015 Outras doenças bacterianas";-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;1;-;5;10
"... 014 Septicemia";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;2;5
"032-052 NEOPLASIAS";-;-;-;2;-;-;1;-;1;4;4;3;8;5;7;8;14;4;11;72
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;4
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;1;-;5
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;4
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;1;5
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;3;1;-;2;-;-;1;1;-;1;9
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;1;-;1;-;2;-;2;1;-;-;-;7
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;2;6
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;3
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;5
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 050 Leucemia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;2
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;1;-;-;2;1;2;1;4;1;1;13
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;3
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;1;-;-;1;-;1;1;-;3;3;4;3;5;14;36
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;4;3;4;12;30
". 056 Desnutrição";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;3
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;3
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;2;4
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;3
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;4;8
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;5
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;2;-;1;4;8;4;7;11;14;20;46;117
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;-;1;5;11;22
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;1;-;-;1;3;3;2;7;5;7;11;40
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;1;-;-;1;3;3;2;6;4;6;9;35
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;8;10
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;-;1;3;1;-;3;2;8;7;14;40
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;4
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;-;-;-;-;-;-;1;2;1;1;1;2;1;4;1;22;37
". 074 Pneumonia";-;-;1;-;-;-;-;-;-;-;1;-;-;1;1;-;2;-;16;22
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;2;6
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;1;4;9
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;1;-;-;-;-;-;-;1;1;-;-;2;1;2;1;1;5;15
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 079 Peritonite";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2
". 082 Rest doenças do aparelho digestivo";-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;2;1;1;3;11
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;4
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;4;2;4;15
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;2;4;12
