 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 280010 AMPARO DE SAO FRANCISCO, 280110 CANHOBA, 280140 CARIRA, 280190 CUMBE, 280220 FEIRA NOVA, 280230 FREI PAULO, 280240 GARARU, 280260 GRACHO CARDOSO, 280310 ITABI, 280370 MACAMBIRA, 280420 MONTE ALEGRE DE SERGIPE, 280445 NOSSA SENHORA APARECIDA, 280470 NOSSA SENHORA DE LOURDES, 280500 PEDRA MOLE, 280520 PINHAO, 280540 POCO REDONDO, 280560 PORTO DA FOLHA, 280700 SAO MIGUEL DO ALEIXO, 280730 TELHA
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;-;1;1;-;-;-;1;-;1;1;2;-;1;2;1;2;4;18
". 001 Doenças infecciosas intestinais";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;7
"... 003 Diarréia e gastroenterite orig infec pres";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;7
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;1;-;1;1;2;-;-;1;-;1;2;9
"... 014 Septicemia";-;-;-;-;-;-;-;-;1;-;1;1;2;-;-;1;-;-;1;7
". 016-023 Doenças virais";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"... 018 Dengue";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;1;1;-;-;1;-;1;3;1;5;2;8;7;4;7;4;7;4;56
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;1;1;2;2;2;4;-;1;1;14
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;1;2;1;1;-;1;1;-;-;-;1;1;9
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;3
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;3
". 047 Neopl malig mening,encéf e out partes SNC";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;3
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 050 Leucemia";-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;2;2;9
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;4
". 053 Anemias";-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;4
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;5;5;12;27
". 055 Diabetes mellitus";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;5;5;9;24
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;1;5
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;3
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;1;3;3;11
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;5
". 062 Epilepsia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;2;-;5
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;3;-;1;6;4;5;6;13;13;15;52;118
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;3
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;1;-;1;1;-;1;2;3;3;4;14;30
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;6;6;8;10;36
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;5;6;7;10;33
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;4;1;1;2;3;1;1;10;23
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;2;2;15;23
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;3;-;1;-;1;-;-;-;1;-;1;4;1;4;5;6;7;38;72
". 074 Pneumonia";-;2;-;-;-;1;-;-;-;1;-;1;2;-;1;3;3;4;24;42
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;3;10;18
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;4
