 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 280010 AMPARO DE SAO FRANCISCO, 280110 CANHOBA, 280140 CARIRA, 280190 CUMBE, 280220 FEIRA NOVA, 280230 FREI PAULO, 280240 GARARU, 280260 GRACHO CARDOSO, 280310 ITABI, 280370 MACAMBIRA, 280420 MONTE ALEGRE DE SERGIPE, 280445 NOSSA SENHORA APARECIDA, 280470 NOSSA SENHORA DE LOURDES, 280500 PEDRA MOLE, 280520 PINHAO, 280540 POCO REDONDO, 280560 PORTO DA FOLHA, 280700 SAO MIGUEL DO ALEIXO, 280730 TELHA
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;2;-;-;1;-;2;1;-;2;-;1;1;-;1;2;1;10;24
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 007-015 Outras doenças bacterianas";-;-;-;2;-;-;1;-;2;1;-;1;-;1;1;-;-;1;-;2;12
"... 014 Septicemia";-;-;-;2;-;-;1;-;2;1;-;1;-;-;1;-;-;1;-;1;10
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;5;9
"032-052 NEOPLASIAS";-;-;-;-;-;1;1;1;1;3;3;3;6;7;7;3;3;7;10;13;69
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;4
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;4
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;4
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;2;6
