 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 280010 AMPARO DE SAO FRANCISCO, 280110 CANHOBA, 280140 CARIRA, 280190 CUMBE, 280220 FEIRA NOVA, 280230 FREI PAULO, 280240 GARARU, 280260 GRACHO CARDOSO, 280310 ITABI, 280370 MACAMBIRA, 280420 MONTE ALEGRE DE SERGIPE, 280445 NOSSA SENHORA APARECIDA, 280470 NOSSA SENHORA DE LOURDES, 280500 PEDRA MOLE, 280520 PINHAO, 280540 POCO REDONDO, 280560 PORTO DA FOLHA, 280700 SAO MIGUEL DO ALEIXO, 280730 TELHA
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;-;1;-;-;1;3;6;4;8;7;6;8;12;12;24;93
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;1;4
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;1;4
". 005-006 Tuberculose";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;3
"... 005 Tuberculose respiratória";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;3
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;2;3;8
"... 008 Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 010 Tétano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"..... 010.3 Tétano acidental";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;4
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;1;-;-;-;-;-;1;2;4;4;6;6;5;8;10;10;19;76
"032-052 NEOPLASIAS";-;-;-;-;1;1;-;-;1;1;-;4;7;7;9;10;10;7;17;75
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;2;6
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;3
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;1;-;1;1;3;1;-;1;-;-;8
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;1;1;-;7
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;3
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;1;3;-;1;9
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;1;11;17
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 048 Linfoma não-Hodgkin";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;3
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 050 Leucemia";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;2;-;-;1;8
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;4
". 053 Anemias";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;-;1;1;1;-;2;1;4;8;5;7;12;43
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;-;-;2;1;3;7;4;7;9;33
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;1;-;-;-;-;-;1;1;1;-;-;-;1;1;1;-;2;9
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;1;2;2;-;4;2;2;1;-;-;1;15
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;2;2;-;3;2;2;1;-;-;-;13
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;1;2;2;-;3;2;2;1;-;-;-;13
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;3;-;2;8
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;4
". 063 Restante das doenças do sistema nervoso";-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;1;-;1;-;5;3;10;10;11;16;16;22;42;137
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;1;-;1;-;-;1;2;3;5;3;8;24
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;3;1;5;6;3;5;3;5;16;47
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;2;1;5;6;3;5;3;5;14;44
". 069 Outras doenças cardíacas";-;-;-;-;-;-;1;-;-;-;-;-;1;2;2;3;3;3;5;20
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;1;2;4;1;3;5;5;10;10;41
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;5
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;1;1;1;1;-;-;-;2;1;7;4;6;6;23;53
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
". 074 Pneumonia";-;-;-;-;-;1;1;1;-;-;-;-;2;-;4;2;3;4;12;30
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;3;1;6;14
"... 076.1 Asma";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;3;7
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;1;1;3;1;4;2;1;6;-;1;6;27
". 080 Doenças do fígado";-;-;-;-;-;-;-;1;-;1;3;1;4;1;-;4;-;-;-;15
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;1;-;1;2;1;1;1;-;1;-;-;-;8
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;4
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;3
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;2;-;1;6;12
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;3
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;1;-;1;7;13
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;4
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
