 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 290010 ABAIRA, 290020 ABARE, 290270 BARRA, 290400 BONINAL, 290410 BOQUIRA, 290450 BROTAS DE MACAUBAS, 290475 BURITIRAMA, 290755 CATURAMA, 290770 CHORROCHO, 290810 COCOS, 290910 CORIBE, 291077 FEIRA DA MATA, 291250 IBIPITANGA, 291300 IBITIARA, 291410 IPUPIARA, 291980 MACAUBAS, 291990 MACURURE, 292045 MANSIDAO, 292160 MORPARA, 292303 NOVO HORIZONTE, 292320 OLIVEIRA DOS BREJINHOS, 292430 PIATA, 292440 PILAO ARCADO, 292690 RIO DO PIRES
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;1;1;-;-;1;1;1;3;1;3;3;3;3;4;5;4;10;27;72
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;6;8
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;6
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;3;15;23
"... 014 Septicemia";-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;3;14;21
". 016-023 Doenças virais";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 020 Out febres p/arbovírus e febr hemor virais";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;-;1;-;-;1;1;1;2;-;3;2;3;-;4;3;4;6;6;37
"032-052 NEOPLASIAS";-;-;-;-;-;2;-;2;2;-;7;5;4;14;7;18;17;12;12;46;148
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;4
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;2;5
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;1;1;1;6
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;2;-;1;1;9
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;3
