 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 290010 ABAIRA, 290020 ABARE, 290270 BARRA, 290400 BONINAL, 290410 BOQUIRA, 290450 BROTAS DE MACAUBAS, 290475 BURITIRAMA, 290755 CATURAMA, 290770 CHORROCHO, 290810 COCOS, 290910 CORIBE, 291077 FEIRA DA MATA, 291250 IBIPITANGA, 291300 IBITIARA, 291410 IPUPIARA, 291980 MACAUBAS, 291990 MACURURE, 292045 MANSIDAO, 292160 MORPARA, 292303 NOVO HORIZONTE, 292320 OLIVEIRA DOS BREJINHOS, 292430 PIATA, 292440 PILAO ARCADO, 292690 RIO DO PIRES
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;6;2;-;-;1;1;1;-;4;6;3;8;8;6;3;12;9;35;105
". 001 Doenças infecciosas intestinais";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;6
"... 003 Diarréia e gastroenterite orig infec pres";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
"... 004 Outras doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;4
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;4
". 007-015 Outras doenças bacterianas";-;-;1;1;-;-;-;-;-;-;-;2;1;-;2;-;-;2;2;3;14
"... 014 Septicemia";-;-;1;1;-;-;-;-;-;-;-;2;1;-;1;-;-;2;2;2;12
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;4
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;1;-;-;-;-;-;-;2;1;1;1;3;-;-;-;2;4;15
"... 025 Leishmaniose";-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;4
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;-;-;-;1;4;11
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
". 031 Restante algumas doenç infec e parasitárias";-;-;2;-;-;-;1;1;1;-;2;2;-;6;3;5;2;6;5;24;60
"032-052 NEOPLASIAS";-;-;-;-;-;1;3;1;2;2;1;9;7;9;11;18;25;27;35;47;198
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;2;-;3;2;-;3;-;1;12
