 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310650 BERILO, 310825 BONITO DE MINAS, 311700 COMERCINHO, 311783 CONEGO MARINHO, 311950 CORONEL MURTA, 312650 FRANCISCO BADARO, 312733 GAMELEIRAS, 313065 INDAIABIRA, 313652 JOSE GONCALVES DE MINAS, 313657 JOSENOPOLIS, 313695 JUVENILIA, 314225 MIRAVANIA, 314270 MONTALVANIA, 314537 NOVORIZONTE, 315560 RIO PARDO DE MINAS, 315650 RUBELITA, 315660 RUBIM, 316245 SAO JOAO DAS MISSOES, 317065 VARGEM GRANDE DO RIO PARDO, 317160 VIRGEM DA LAPA
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;-;-;-;1;-;1;4;4;5;4;6;9;8;12;40;-;94
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;3
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;3
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;1;8;-;13
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;6;-;10
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;2;3;5;-;18
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;2;3;5;-;18
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;1;-;1;3;3;3;2;4;4;5;7;26;-;59
"032-052 NEOPLASIAS";-;-;-;-;1;2;1;-;-;-;1;1;1;4;6;3;9;9;8;21;-;67
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;1;-;4
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;3
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;1;1;-;6
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;2;-;5
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;1;-;6
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;3
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
". 044 Neoplasia maligna do ovário";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;4
". 050 Leucemia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;5
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;1;3;4;9;-;20
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3;-;5
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3;-;5
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;-;1;-;-;1;2;-;2;3;3;-;4;12;-;29
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;1;-;-;-;2;-;2;3;3;-;4;8;-;23
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;4
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;3
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;2
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;-;-;1;-;1;-;1;-;-;2;-;-;1;-;-;6;-;13
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;6
". 062 Epilepsia";-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;4
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;3
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;1;1;-;-;-;2;1;2;2;3;2;5;9;11;17;15;87;-;158
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;3;4;20;-;31
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4;-;2;1;7;-;17
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;-;1;1;7;-;15
". 069 Outras doenças cardíacas";-;-;-;-;1;-;-;-;-;1;-;1;1;1;1;2;4;7;3;32;-;54
". 070 Doenças cerebrovasculares";-;-;-;1;-;-;-;-;-;-;1;-;2;1;-;3;5;5;7;25;-;50
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;4
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;3;1;8;18;-;33
". 074 Pneumonia";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;4;12;-;20
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;-;7
". 077 Restante  doenças do aparelho respiratório";-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2;1;-;6
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;1;-;-;1;3;2;2;-;1;2;5;4;3;-;24
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;1;1;1;2;-;-;9
