 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310650 BERILO, 310825 BONITO DE MINAS, 311700 COMERCINHO, 311783 CONEGO MARINHO, 311950 CORONEL MURTA, 312650 FRANCISCO BADARO, 312733 GAMELEIRAS, 313065 INDAIABIRA, 313652 JOSE GONCALVES DE MINAS, 313657 JOSENOPOLIS, 313695 JUVENILIA, 314225 MIRAVANIA, 314270 MONTALVANIA, 314537 NOVORIZONTE, 315560 RIO PARDO DE MINAS, 315650 RUBELITA, 315660 RUBIM, 316245 SAO JOAO DAS MISSOES, 317065 VARGEM GRANDE DO RIO PARDO, 317160 VIRGEM DA LAPA
Sexo: Masc
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;1;-;-;-;1;-;-;3;-;4;4;4;4;5;8;6;41
". 001 Doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 004 Outras doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;1;-;-;-;1;-;-;2;-;1;1;1;1;3;1;3;15
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 014 Septicemia";-;-;-;1;-;-;-;1;-;-;2;-;1;1;1;1;2;1;2;13
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;1;-;2;3;3;2;2;7;3;23
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;1;-;2;3;3;2;2;7;2;22
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;1;-;1;1;-;4;2;1;-;5;11;9;8;11;11;17;82
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;1;-;-;5
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;2;-;1;7
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;5
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;5
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;2;5
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;2;1;7
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;2;1;5;12
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;4
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 050 Leucemia";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 052 Restante de neoplasias malignas";-;-;-;-;-;1;-;-;1;1;-;-;2;4;2;3;3;4;4;25
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;1;1;-;-;-;-;-;1;3;4;2;4;4;5;10;35
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;-;-;3;2;2;4;3;2;7;23
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;2;6
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;2;1;6
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;1;-;-;3;6;-;3;-;3;-;3;2;21
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;-;-;3;6;-;2;-;3;-;2;1;18
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;1;-;-;3;6;-;2;-;3;-;2;-;17
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;3
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;-;2;2;-;1;-;-;1;1;1;1;1;-;2;2;15
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;3
". 062 Epilepsia";-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;4
". 063 Restante das doenças do sistema nervoso";-;-;-;-;-;2;2;-;1;-;-;-;1;-;-;-;-;2;-;8
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;1;-;1;1;5;6;12;6;11;15;15;23;32;128
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;1;2;3;3;4;3;4;6;27
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;-;1;3;-;4;4;3;4;5;25
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;4;2;4;5;19
". 069 Outras doenças cardíacas";-;-;-;-;-;-;1;-;-;-;2;2;3;-;1;3;2;6;8;28
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;1;-;2;2;4;1;3;3;7;9;12;44
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;1;4
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;2;-;-;2;-;-;-;-;1;1;-;-;5;3;8;7;35;64
". 074 Pneumonia";-;-;2;-;-;-;-;-;-;-;1;1;-;-;3;2;1;3;19;32
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7;2;14;25
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;4
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;2;2;7
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;3;1;4;4;2;4;3;3;3;1;6;34
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;1;2;3;2;3;2;1;-;-;1;16
